	token	coref	ner
107	is	O	O
108	mogelijk	O	O
109	dat	O	O
110	u	(20)	O
111	nog	O	O
112	meer	(21	O
113	vergunningen	21)	O
114	nodig	O	O
115	heeft	O	O
116	.	O	O
117	Om	O	O
118	dit	(22)	O
119	na	O	O
120	te	O	O
121	gaan	O	O
122	,	O	O
123	kunt	O	O
124	u	(23)	O
125	contact	(24)	O
126	opnemen	O	O
127	met	O	O
128	de	(25	O
129	gemeente	25)	O
130	en	O	O
131	met	O	O
132	de	(26	O
133	provincie	26)	O
134	.	O	O
135	Verder	O	O
136	is	O	O
137	het	(27)	O
138	mogelijk	O	O
139	dat	O	O
140	u	(28)	O
141	toestemming	(29	O
142	nodig	O	O
143	heeft	O	O
144	van	O	O
145	een	(30	O
146	eventuele	O	O
147	(	O	O
148	mede	O	O
149	)	O	O
150	eigenaar	O	O
151	of	O	O
152	gebruiker	O	O
153	van	O	O
154	de	(31	O
155	grond	31)|30)|29)	O
156	.	O	O
157	U	(32)	O
158	kunt	O	O
159	pas	O	O
160	beginnen	O	O
161	met	O	O
162	de	(33	O
163	werkzaamheden	33)	O
164	,	O	O
165	wanneer	O	O
166	u	(34)	O
167	van	O	O
168	alle	(35	O
169	betreffende	O	O
170	instanties	35)	O
171	de	(37|(36	O
172	benodigde	O	O
173	vergunningen	36)	O
174	en	O	O
175	dergelijke	37)	O
176	heeft	O	O
177	ontvangen	O	O
178	.	O	O
179	Meldingsformulier	(38	O
180	start	O	O
181	werkzaamheden	38)|(39)	O
182	Bij	O	O
183	de	(15	O
184	keurvergunning	15)	O
185	treft	O	O
186	u	(40)	O
187	in	O	O
188	een	(41	O
189	bijlage	41)	O
190	het	(42	O
191	meldingsformulier	42)	O
192	aan	O	O
193	.	O	O
194	Hiermee	O	O
195	geeft	O	O
196	u	(43)	O
197	aan	O	O
198	wanneer	O	O
199	u	(44)	O
200	echt	O	O
201	gaat	O	O
202	beginnen	O	O
203	met	O	O
204	de	(45	O
205	(	O	O
206	onderhouds	O	O
207	)	O	O
208	werkzaamheden	O	O
209	,	O	O
210	waarvoor	O	O
211	u	(46)	O
212	deze	(15	O
213	keurvergunning	15)	O
214	hebt	O	O
215	aangevraagd	45)	O
216	.	O	O
217	Wilt	O	O
218	u	(47)	O
219	dit	(42	O
220	meldingsformulier	42)	O
221	tenminste	(48	O
222	drie	O	O
223	werkdagen	O	O
224	voordat	O	O
225	u	(49)	O
226	start	O	O
227	met	O	O
228	de	(33	O
229	werkzaamheden	33)	O
230	opsturen	O	O
231	naar	O	O
232	het	(50	O
233	waterschap	50)|48)	O
234	?	O	O
235	Wij	(51)	O
236	wijzen	O	O
237	u	(52)	O
238	met	O	O
239	nadruk	(53)	O
240	op	O	O
241	het	(54	O
242	volgende	54)	O
243	:	O	O
244	-	O	O
245	Er	O	O
246	dient	O	O
247	alles	(55)	O
248	in	O	O
249	het	O	O
250	werk	O	O
251	te	O	O
252	worden	O	O
253	gesteld	O	O
254	om	O	O
255	te	O	O
256	voorkomen	O	O
257	dat	O	O
258	het	(56|(50	O
259	waterschap	50)	O
260	of	O	O
261	derden	56)	O
262	,	O	O
263	door	O	O
264	het	(57	O
265	gebruik	O	O
266	van	O	O
267	deze	(15	O
268	keurvergunning	15)|57)	O
269	,	O	O
270	schade	(58)	O
271	ondervinden	O	O
272	.	O	O
273	-	O	O
274	Indien	O	O
275	de	(59	O
276	vergunninghouder	59)	O
277	in	O	O
278	gebreke	(60)	O
279	blijft	O	O
280	de	(61	O
281	voorschriften	61)	O
282	na	O	O
283	te	O	O
284	leven	O	O
285	,	O	O
286	is	O	O
287	er	O	O
288	sprake	(62)	O
289	van	O	O
290	een	(63	O
291	overtreding	O	O
292	als	O	O
293	bedoeld	O	O
294	in	O	O
295	de	(64	O
296	Keur	O	O
297	van	O	O
298	het	(65	O
299	Hoogheemraadschap	O	O
300	De	O	O
301	Stichtse	O	O
302	Rijnlanden	65)|64)|63)	O
303	.	O	O
304	-	O	O
305	Indien	O	O
306	er	O	O
307	door	O	O
308	het	(66	O
309	gebruik	O	O
310	van	O	O
311	deze	(15	O
312	keurvergunning	15)|66)	O
313	verontreiniging	(67	O
314	van	O	O
315	oppervlaktewater	67)|(68)	O
316	ontstaat	O	O
317	,	O	O
318	dan	O	O
319	zorgt	O	O
320	vergunninghouder	(59)	O
321	ervoor	O	O
322	dat	O	O
323	dit	(69)	O
324	onmiddellijk	O	O
325	en	O	O
326	volledig	O	O
327	wordt	O	O
328	opgeruimd	O	O
329	.	O	O
330	Poldermolen	O	O
331	2	O	O
332	Postbus	O	O
333	550	O	O
334	3990	(70)	O
335	GJ	O	O
336	Houten	O	O
337	T	O	O
338	(	O	O
339	30	O	O
340	)	O	O
341	634	O	O
342	57	O	O
343	0	O	O
344	F	O	O
345	(	O	O
346	30	O	O
347	)	O	O
348	634	O	O
349	59	O	O
350	99	O	O
351	post@hdsr.nl	O	O
352	www.destichtserijnlanden.nl	O	O
353	Keurvergunning	O	O
354	d.d.	O	O
355	2	O	O
356	november	O	O
357	2007	O	O
358	nr.	O	O
359	181170	O	O
360	2	O	O
361	-	O	O
362	Het	(71	O
363	toepassen	O	O
364	van	O	O
365	uitlogende	(72	O
366	materialen	72)|71)	O
367	is	O	O
368	niet	O	O
369	toegestaan	O	O
370	.	O	O
371	Hieronder	O	O
372	vallen	O	O
373	onder	(73	O
374	andere	O	O
375	gecreosoteerd	O	O
376	en	O	O
377	gewolmaniseerd	O	O
378	hout	O	O
379	en	O	O
380	bewerkt	(74	O
381	staal	O	O
382	(	O	O
383	bijvoorbeeld	O	O
384	verzinkt	74)|73)	O
385	)	O	O
386	.	O	O
387	-	O	O
388	Met	O	O
389	betrekking	O	O
390	tot	O	O
391	de	(75	O
392	diepte	O	O
393	van	O	O
394	de	(76	O
395	primaire	O	O
396	watergang	76)|75)	O
397	is	O	O
398	door	O	O
399	de	(77	O
400	heer	O	O
401	Westerbeek	O	S-PER
402	van	O	O
403	onze	(78)|(79	O
404	dienst	79)|77)	O
405	nog	O	O
406	contact	(80	O
407	met	O	O
408	u	80)|(81)	O
409	geweest	O	O
410	Bouwstoffenbesluit	(82)	O
411	is	O	O
412	van	O	O
413	toepassing	(83)	O
414	Uit	O	O
415	de	(84	O
416	aanvraag	84)	O
417	blijkt	O	O
418	dat	O	O
419	het	(82	O
420	Bouwstoffenbesluit	82)	O
421	van	O	O
422	toepassing	O	O
423	is	O	O
424	.	O	O
425	U	(85)	O
426	heeft	O	O
427	nog	O	O
428	geen	(86	O
429	melding	O	O
430	gedaan	O	O
431	voor	O	O
432	het	(82	O
433	Bouwstoffenbesluit	82)|86)	O
434	.	O	O
435	U	(87)	O
436	heeft	O	O
437	hiervoor	O	O
438	de	(88	O
439	tijd	O	O
440	tot	O	O
441	uiterlijk	(89	O
442	twee	O	O
443	werkdagen	O	O
444	voor	O	O
445	toepassing	(90	O
446	van	O	O
447	de	(91	O
448	bouwstof(fen	91)|90)|89)|88)	O
449	)	O	O
450	.	O	O
451	Vergeet	O	O
452	u	(92)	O
453	niet	O	O
454	om	O	O
455	bij	O	O
456	de	(93	O
457	melding	93)	O
458	de	(94	O
459	gevraagde	O	O
460	kwaliteitsverklaring	O	O
461	(en	O	O
462	)	O	O
463	van	O	O
464	de	(95	O
465	bouwstof(fen	95)|94)	O
466	)	O	O
467	toe	O	O
468	te	O	O
469	voegen	O	O
470	?	O	O
471	Niet	O	O
472	eens	O	O
473	met	O	O
474	de	(96	O
475	vergunning	96)	O
476	?	O	O
477	Wanneer	O	O
478	u	(97)	O
479	het	(98)	O
480	niet	O	O
481	eens	O	O
482	bent	O	O
483	met	O	O
484	deze	(96	O
485	vergunning	96)	O
486	,	O	O
487	dan	O	O
488	kunt	O	O
489	u	(99)	O
490	hiertegen	O	O
491	binnen	O	O
492	zes	(101|(100	O
493	weken	100)	O
494	na	O	O
495	de	(102	O
496	verzenddatum	102)|101)	O
497	schriftelijk	(103	O
498	bezwaar	103)	O
499	instellen	O	O
500	bij	O	O
501	ons	(104)|(50	O
502	waterschap	50)	O
503	.	O	O
504	In	O	O
505	uw	(105	O
506	bezwaarschrift	105)	O
507	legt	O	O
508	u	(106)	O
509	uit	O	O
510	om	O	O
511	wat	O	O
512	voor	O	O
513	vergunning	(96)	O
514	het	(107)	O
515	gaat	O	O
516	en	O	O
517	waarom	O	O
518	u	(108)	O
519	het	(109)	O
520	niet	O	O
521	eens	O	O
522	bent	O	O
523	met	O	O
524	de	(96	O
525	vergunning	96)	O
526	.	O	O
527	Het	(105	O
528	bezwaarschrift	105)	O
529	bevat	O	O
530	verder	O	O
531	uw	(111|(110	O
532	handtekening	110)	O
533	,	O	O
534	het	(112	O
535	kenmerk	O	O
536	van	O	O
537	de	(96	O
538	vergunning	96)|112)	O
539	,	O	O
540	uw	(114|(113	O
541	naam	113)	O
542	en	O	O
543	adres	114)	O
544	en	O	O
545	een	(115	O
546	dagtekening	115)|111)	O
547	.	O	O
548	Voorlopige	(116	O
549	voorziening	116)	O
550	Als	O	O
551	er	O	O
552	naar	O	O
553	uw	(117	O
554	mening	117)	O
555	tijdelijke	(118	O
556	maatregelen	O	O
557	nodig	O	O
558	zijn	O	O
559	waarmee	O	O
560	niet	O	O
561	tot	O	O
562	de	(119	O
563	beslissing	O	O
564	op	O	O
565	het	(105	O
566	bezwaarschrift	105)|119)	O
567	kan	O	O
568	worden	O	O
569	gewacht	118)	O
570	,	O	O
571	kunt	O	O
572	u	(120)	O
573	een	(121	O
574	verzoek	O	O
575	om	O	O
576	een	(122	O
577	voorlopige	O	O
578	voorziening	O	O
579	,	O	O
580	inclusief	O	O
581	schorsing	122)|121)|(123)	O
582	,	O	O
583	indienen	O	O
584	.	O	O
585	Het	(124	O
586	verzoek	124)	O
587	richt	O	O
588	u	(125)	O
589	aan	O	O
590	:	O	O
591	de	(126	O
592	voorzieningenrechter	O	O
593	van	O	O
594	de	O	O
595	rechtbank	O	O
596	Utrecht	O	O
597	Sector	O	O
598	bestuursrecht	O	O
599	Postbus	O	O
600	13023	O	O
601	3507	O	O
602	LA	O	O
603	Utrecht	126)|(127)	O
604	.	O	O
605	Hiervoor	O	O
606	zijn	O	O
607	griffierechten	(128)	O
608	verschuldigd	O	O
609	.	O	O
610	Voor	O	O
611	natuurlijke	O	O
612	personen	O	O
613	€	O	O
614	-143	(129)	O
615	en	O	O
616	voor	O	O
617	rechtspersonen	O	O
618	€	(130)	O
619	-285	O	O
620	.	O	O
621	Bij	O	O
622	uw	(131	O
623	verzoek	131)	O
624	stuurt	O	O
625	u	(132)	O
626	zowel	O	O
627	een	(134|(133	O
628	kopie	O	O
629	van	O	O
630	uw	(135	O
631	bezwaarschrift	135)|133)	O
632	als	O	O
633	van	O	O
634	de	(96	O
635	vergunning	96)|134)	O
636	mee	O	O
637	.	O	O
638	Meer	(136	O
639	informatie	136)	O
640	?	O	O
641	Wilt	O	O
642	u	(137)	O
643	meer	(138	O
644	informatie	O	O
645	over	O	O
646	de	(139	O
647	procedure	O	O
648	bij	O	O
649	keurvergunningsaanvragen	139)|138)|(140)	O
650	?	O	O
651	U	(141)	O
652	kunt	O	O
653	dan	O	O
654	contact	(142)	O
655	opnemen	O	O
656	met	O	O
657	mevrouw	(144|(143	O
658	M.H.M.	O	B-PER
659	Hilgeman	143)	E-PER
660	,	O	O
661	op	O	O
662	telefoonnummer	(145	O
663	(	O	O
664	30	O	O
665	)	O	O
666	634	O	O
667	58	O	O
668	33	145)|144)	O
669	.	O	O
670	Heeft	O	O
671	u	(146)	O
672	inhoudelijke	(147	O
673	vragen	O	O
674	of	O	O
675	opmerkingen	O	O
676	over	O	O
677	de	(15	O
678	keurvergunning	15)|147)	O
679	,	O	O
680	dan	O	O
681	kunt	O	O
682	u	(148)	O
683	bellen	O	O
684	met	O	O
685	de	(150|(149	O
686	heer	O	O
687	P.A.	O	B-PER
688	Molleman	149)	E-PER
689	,	O	O
690	op	O	O
691	telefoonnummer	(151	O
692	(	O	O
693	30	O	O
694	)	O	O
695	634	O	O
696	58	O	O
697	13	151)|150)	O
698	.	O	O
699	Algemene	(152	O
700	informatie	152)	O
701	kunt	O	O
702	u	(153)	O
703	ook	O	O
704	op	O	O
705	onze	(154)|(156|(155	O
706	website	155)	O
707	vinden	O	O
708	:	O	O
709	www.destichtserijnlanden.nl.	156)|(157)	O
710	Op	O	O
711	de	(158	O
712	website	158)	O
713	staat	O	O
714	ook	O	O
715	de	(159	O
716	bekendmaking	O	O
717	van	O	O
718	deze	(15	O
719	keurvergunning	15)|159)	O
720	.	O	O
721	Keurvergunning	O	O
722	d.d.	O	O
723	2	(160	O
724	november	O	O
725	2007	160)	O
726	nr.	O	O
727	181170	O	O
728	3	O	O
729	HOOFDSTUK	O	O
730	1	O	O
731	.	O	O
732	BESLUIT	O	O
733	KEURVERGUNNING	O	O
734	Dijkgraaf	(161)|(162	O
735	en	O	O
736	hoogheemraden	162)	O
737	besluiten	O	O
738	aan	O	O
739	Rijkswaterstaat	(163	O
740	Directie	O	O
741	Utrecht	O	O
742	,	O	O
743	Postbus	(164	O
744	650	164)|(165)	O
745	,	O	O
746	3430	O	O
747	AR	O	O
748	Nieuwegein	O	O
749	(	O	O
750	hierna	(166	O
751	te	O	O
752	noemen	O	O
753	vergunninghouder	166)|163)	O
754	)	O	O
755	:	O	O
756	1	(167)	O
757	.	O	O
758	vergunning	(168)	O
759	te	O	O
760	verlenen	O	O
761	krachtens	O	O
762	artikel	(169	O
763	37	(170)	O
764	van	O	O
765	de	(171	O
766	Keur	O	O
767	van	O	O
768	het	O	O
769	Hoogheemraadschap	O	O
770	De	O	O
771	Stichtse	O	O
772	Rijnlanden	171)	O
773	,	O	O
774	(	O	O
775	van	O	O
776	17	(172	O
777	december	O	O
778	1996	172)	O
779	,	O	O
780	kenmerk	(173	O
781	96.B103	173)|169)|(174)	O
782	)	O	O
783	2.	O	O
784	ontheffing	O	O
785	te	O	O
786	verlenen	O	O
787	van	O	O
788	de	O	O
789	verbodsbepalingen	O	O
790	genoemd	O	O
791	in	O	O
792	artikel	O	O
793	26	(175)	O
794	(	O	O
795	algemene	(176	O
796	verbodsbepalingen	O	O
797	watergangen	176)	O
798	)	O	O
799	van	O	O
800	de	(177	O
801	Keur	O	O
802	van	O	O
803	het	O	O
804	Hoogheemraadschap	O	O
805	De	O	O
806	Stichtse	O	O
807	Rijnlanden	177)	O
808	,	O	O
809	door	O	O
810	vergunning	(178)	O
811	te	O	O
812	verlenen	O	O
813	voor	O	O
814	project	(179	O
815	aansluiting	O	O
816	Woerden	O	O
817	-	O	O
818	Oost	O	O
819	op	O	O
820	A12	(180	O
821	nabij	O	O
822	Harmelen	180)|(181)	O
823	,	O	O
824	in	O	O
825	de	(182	O
826	gemeente	O	O
827	Woerden	182)|179)	O
828	3.	O	O
829	aan	O	O
830	de	(183	O
831	vergunning	183)	O
832	de	(184	O
833	voorschriften	O	O
834	,	O	O
835	genoemd	O	O
836	in	O	O
837	hoofdstuk	(185	O
838	5	(186)	O
839	en	O	O
840	6	185)|184)|(187)	O
841	,	O	O
842	te	O	O
843	verbinden	O	O
844	om	O	O
845	tegemoet	O	O
846	te	O	O
847	komen	O	O
848	aan	O	O
849	bezwaren	(188	O
850	van	O	O
851	waterstaatkundige	(189	O
852	aard	189)|188)	O
853	.	O	O
854	4.	(190)	O
855	de	(191	O
856	bijlagen	O	O
857	I	(192)	O
858	(	O	O
859	Meldingsformulier	(194|(193	O
860	start	O	O
861	werkzaamheden	(195	O
862	Keurvergunning	195)|193)|(196)	O
863	)	O	O
864	en	O	O
865	II	O	O
866	(	O	O
867	Tekeningen	194)|191)|(197)	O
868	)	O	O
869	onderdeel te	O	O
870	laten	O	O
871	uitmaken	O	O
872	van	O	O
873	dit	(198	O
874	besluit	O	O
875	5	198)|(199)	O
876	.	O	O
877	de	(200	O
878	vergunning	O	O
879	voor	O	O
880	een	(201	O
881	periode	O	O
882	van	O	O
883	één	(202	O
884	jaar	202)|201)|200)	O
885	te	O	O
886	verlenen	O	O
887	(	O	O
888	ingaande	O	O
889	op	O	O
890	de	(203	O
891	dag	O	O
892	van	O	O
893	de	(204	O
894	inwerkingtreding	O	O
895	van	O	O
896	de	(183	O
897	vergunning	183)|204)|203)	O
898	)	O	O
899	HOOFDSTUK	O	O
900	2	O	O
901	:	O	O
902	OVERWEGINGEN	O	O
903	2.1	O	O
904	Bezwaren	O	O
905	van	O	O
906	waterstaatkundige	(189	O
907	aard	189)	O
908	Tegen	O	O
909	de	(183	O
910	vergunningaanvraag	183)	O
911	bestaan	O	O
912	bezwaren	(205	O
913	van	O	O
914	waterstaatkundige	(189	O
915	aard	189)|205)	O
916	.	O	O
917	Het	(206)	O
918	gaat	O	O
919	in	O	O
920	het	(207	O
921	bijzonder	207)	O
922	om	O	O
923	een	(208	O
924	verandering	O	O
925	in	O	O
926	het	(209	O
927	watersysteem	209)|208)	O
928	.	O	O
929	Om	O	O
930	aan	O	O
931	deze	(205	O
932	bezwaren	205)	O
933	tegemoet	O	O
934	te	O	O
935	komen	O	O
936	houdt	O	O
937	vergunninghouder	(59)	O
938	zich	(210)	O
939	aan	O	O
940	de	(211	O
941	voorschriften	O	O
942	zoals	O	O
943	weergegeven	O	O
944	in	O	O
945	de	(212	O
946	hoofdstukken	O	O
947	5	(213)|(214	O
948	en	O	O
949	6.	214)|(215)	O
950	2.2	(216)|(217	O
951	Beleid	217)|212)|211)|(218)	O
952	Bij	O	O
953	het	(219	O
954	verlenen	O	O
955	van	O	O
956	deze	(15	O
957	vergunning	15)|219)	O
958	is	O	O
959	rekening	(220)	O
960	gehouden	O	O
961	met	O	O
962	:	O	O
963	de	(222|(221	O
964	Beleidsnota	O	O
965	dempingen	O	O
966	,	O	O
967	vastgesteld	O	O
968	door	O	O
969	het	(223	O
970	algemeen	O	O
971	bestuur	223)	O
972	op	O	O
973	20	(224	O
974	december	O	O
975	2000	224)|221)	O
976	,	O	O
977	kenmerk	O	O
978	WBB00.120	O	O
979	HOOFDSTUK	O	O
980	3	O	O
981	.	O	O
982	AANVRAAG	222)|(225)	O
983	De	(15	O
984	vergunning	15)	O
985	is	O	O
986	gebaseerd	O	O
987	op	O	O
988	de	(226	O
989	aanvraag	O	O
990	van	O	O
991	de	(227	O
992	heer	O	O
993	K.	O	O
994	Leunge	O	B-PER
995	van	O	E-PER
996	MNO	(228	O
997	te	O	O
998	Nieuw-	(229	O
999	Vennep	229)|228)|227)|226)	O
1000	:	O	O
1001	gedateerd	O	O
1002	op	O	O
1003	13	(230	O
1004	september	O	O
1005	2007	230)	O
1006	met	O	O
1007	kenmerk	(231	O
1008	jb/33341/avb	231)|(232)	O
1009	ingekomen	O	O
1010	op	O	O
1011	17	(233	O
1012	september	O	O
1013	2007	233)	O
1014	onder	O	O
1015	nummer	O	O
1016	178951-keurlocatie	(234	O
1017	178951	234)	O
1018	voor	O	O
1019	de	(235	O
1020	locatie	O	O
1021	te	O	O
1022	Harmelen	(236	O
1023	nabij	O	O
1024	de	(237	O
1025	A12	237)|236)	O
1026	,	O	O
1027	in	O	O
1028	de	(238	O
1029	gemeente	O	O
1030	Woerden	238)|235)	O
1031	.	O	O
1032	HOOFDSTUK	(239	O
1033	4	239)|(240)	O
1034	.	O	O
1035	Bijzondere	(242|(241	O
1036	voorschriften	O	O
1037	Dempen	O	O
1038	van	O	O
1039	oppervlaktewater	241)|(243)	O
1040	1	242)|(244)	O
1041	.	O	O
1042	De	(245	O
1043	werkzaamheden	245)	O
1044	worden	O	O
1045	uitgevoerd	O	O
1046	zoals	O	O
1047	is	O	O
1048	aangegeven	O	O
1049	op	O	O
1050	de	(246	O
1051	bijgevoegde	O	O
1052	gewaarmerkte	O	O
1053	tekeningen	O	O
1054	en	O	O
1055	berekeningsbijlage	O	O
1056	,	O	O
1057	met	O	O
1058	kenmerk	(247	O
1059	en	O	O
1060	datum	O	O
1061	zoals	O	O
1062	opgesomd	O	O
1063	in	O	O
1064	Bijlage	(248	O
1065	II	248)|247)|(249)	O
1066	.	O	O
1067	.	O	O
1068	2	(250)	O
1069	.	O	O
1070	De	(251	O
1071	watergangen	O	O
1072	,	O	O
1073	die	O	O
1074	worden	O	O
1075	gedempt	251)|246)	O
1076	,	O	O
1077	hebben	O	O
1078	een	(252	O
1079	totale	O	O
1080	oppervlakte	O	O
1081	van	O	O
1082	1600	(253	O
1083	m2	O	O
1084	in	O	O
1085	peilgebied	(254	O
1086	A	254)|253)	O
1087	,	O	O
1088	van	O	O
1089	28760	O	O
1090	M2	O	O
1091	in	O	O
1092	peilgebied	(256|(255	O
1093	B	255)	O
1094	en	O	O
1095	2600	256)|252)|(257)	O
1096	.	O	O
1097	3	O	O
1098	.	O	O
1099	Ter	(258	O
1100	compensatie	O	O
1101	van	O	O
1102	het	(259	O
1103	te	O	O
1104	dempen	O	O
1105	oppervlaktewater	259)|258)	O
1106	wordt	O	O
1107	een	(260	O
1108	elfde	O	O
1109	oppervlakte	260)	O
1110	vergraven	O	O
1111	tot	O	O
1112	water	(261)	O
1113	en	O	O
1114	wordt	O	O
1115	10	(262	O
1116	%	O	O
1117	van	O	O
1118	de	(263	O
1119	verharding	263)|262)	O
1120	Keurvergunning	O	O
1121	d.d.	O	O
1122	2	(264	O
1123	november	O	O
1124	2007	264)	O
1125	nr.	O	O
1126	181170	O	O
1127	4	O	O
1128	4	(265)	O
1129	.	O	O
1130	Voordat	O	O
1131	tot	O	O
1132	demping	(266)	O
1133	wordt	O	O
1134	overgegaan	O	O
1135	,	O	O
1136	wordt	O	O
1137	de	(267	O
1138	aangegeven	O	O
1139	compensatie	O	O
1140	van	O	O
1141	het	(268	O
1142	te	O	O
1143	dempen	O	O
1144	open	O	O
1145	water	268)|267)	O
1146	gerealiseerd	O	O
1147	.	O	O
1148	5	(269)	O
1149	.	O	O
1150	Voordat	O	O
1151	tot	O	O
1152	demping	(266)	O
1153	wordt	O	O
1154	overgegaan	O	O
1155	,	O	O
1156	wordt	O	O
1157	het	(270	O
1158	alternatieve	O	O
1159	tracé	270)	O
1160	aangebracht	O	O
1161	.	O	O
1162	6	(271)	O
1163	.	O	O
1164	Voordat	O	O
1165	tot	O	O
1166	demping	(266)	O
1167	wordt	O	O
1168	overgegaan	O	O
1169	,	O	O
1170	wordt	O	O
1171	het	(272	O
1172	betreffende	O	O
1173	deel	O	O
1174	van	O	O
1175	de	(273	O
1176	watergang	273)|272)	O
1177	vrijgemaakt	O	O
1178	van	O	O
1179	oppervlaktewater	(274)|(275	O
1180	,	O	O
1181	bagger	(276)	O
1182	en	O	O
1183	begroeiing	275)|(277)	O
1184	.	O	O
1185	7	(278)	O
1186	.	O	O
1187	Voordat	O	O
1188	tot	O	O
1189	demping	(266)	O
1190	wordt	O	O
1191	overgegaan	O	O
1192	,	O	O
1193	worden	O	O
1194	de	(279	O
1195	te	O	O
1196	dempen	O	O
1197	gedeelte	O	O
1198	(	O	O
1199	n	279)|(280)	O
1200	)	O	O
1201	afgesloten	O	O
1202	van	O	O
1203	het	(281	O
1204	overige	O	O
1205	open	O	O
1206	water	281)	O
1207	door	O	O
1208	middel	O	O
1209	van	O	O
1210	een	(282	O
1211	deugdelijke	O	O
1212	grondkering	O	O
1213	(	O	O
1214	bv.	(284|(283	O
1215	dam	283)	O
1216	of	O	O
1217	beschoeiing	284)|282)	O
1218	)	O	O
1219	.	O	O
1220	8	(285)	O
1221	.	O	O
1222	Het	(287|(286	O
1223	profiel	O	O
1224	van	O	O
1225	de	(288	O
1226	aan	O	O
1227	de	(289	O
1228	demping	289)|288)|286)	O
1229	grenzende	287)	O
1230	watergangen	(290)	O
1231	wordt	O	O
1232	niet	O	O
1233	ondieper	O	O
1234	of	O	O
1235	smaller	O	O
1236	.	O	O
1237	9	O	O
1238	.	O	O
1239	De	(291	O
1240	demping	291)	O
1241	verkrijgt	O	O
1242	,	O	O
1243	na	O	O
1244	inklinking	(292)	O
1245	,	O	O
1246	een	(293	O
1247	hoogteligging	O	O
1248	die	O	O
1249	overeenkomt	O	O
1250	met	O	O
1251	het	(294	O
1252	aangrenzende	O	O
1253	maaiveld	294)|293)	O
1254	.	O	O
1255	10	(295)	O
1256	.	O	O
1257	Duikers	(296	O
1258	die	O	O
1259	op	O	O
1260	de	(298|(297	O
1261	te	O	O
1262	dempen	(299)	O
1263	gedeelte	O	O
1264	(	O	O
1265	n	297)|(300)	O
1266	)	O	O
1267	van	O	O
1268	de	(301	O
1269	watergangen	301)|298)	O
1270	zijn	O	O
1271	aangesloten	296)	O
1272	,	O	O
1273	worden	O	O
1274	tot	O	O
1275	buiten	O	O
1276	de	(292	O
1277	demping	292)	O
1278	verlengd	O	O
1279	,	O	O
1280	met	O	O
1281	een	(302	O
1282	duiker	O	O
1283	die	O	O
1284	een	(303	O
1285	inwendige	O	O
1286	diameter	O	O
1287	heeft	O	O
1288	die	O	O
1289	groter	O	O
1290	of	O	O
1291	gelijk	O	O
1292	is	O	O
1293	aan	O	O
1294	de	(304	O
1295	bestaande	O	O
1296	duiker	304)|303)|302)	O
1297	.	O	O
1298	Graven	(305	O
1299	van	O	O
1300	oppervlaktewater	(306)	O
1301	11	305)|(307)	O
1302	.	O	O
1303	De	(308	O
1304	werkzaamheden	308)	O
1305	worden	O	O
1306	uitgevoerd	O	O
1307	zoals	O	O
1308	is	O	O
1309	aangegeven	O	O
1310	op	O	O
1311	de	(310|(309	O
1312	bijgevoegde	O	O
1313	gewaarmerkte	O	O
1314	tekeningen	309)	O
1315	en	O	O
