	token	coref	ner
367	5	94)|(95)	O
368	,	O	O
369	1270	(96)	O
370	AA	O	O
371	HUIZEN	(97)	O
372	.	O	O
373	Hoogachtend	(98)|(99	O
374	,	O	O
375	burgemeester	(100)	O
376	en	O	O
377	wethouders	99)|93)|(89)	O
378	.	O	O
379	Vragen	(101)	O
380	Heeft	O	O
381	u	(102)	O
382	nog	O	O
383	vragen	O	O
384	over	O	O
385	deze	(103	O
386	brief	103)	O
387	?	O	O
388	Neem	O	O
389	dan	O	O
390	contact	(104)	O
391	op	O	O
392	met	O	O
393	de	(106|(105	O
394	heer	O	O
395	M.	O	B-PER
396	Dickmann	105)	E-PER
397	,	O	O
398	telefoonnummer	(107	O
399	35	O	O
400	528	O	O
401	15	O	O
402	1	O	O
403	1	107)|106)	O
404	.	O	O
405	Of	O	O
406	stuur	O	O
407	een	(108	O
408	e-mail	108)	O
409	naar	O	O
410	:	O	O
411	m.dickmann@huizen.nl	(109)	O
412	.	O	O
413	Dient	O	O
414	u	(110)	O
415	het	(90	O
416	bezwaarschrift	90)	O
417	in	O	O
418	binnen	O	O
419	zes	(111	O
420	weken	O	O
421	na	O	O
422	de	(112	O
423	dag	O	O
424	waarop	O	O
425	deze	(103	O
426	brief	103)	O
427	is	O	O
428	verzonden	112)|111)	O
429	.	O	O
430	Zorgt	O	O
431	u	(110)	O
432	ervoor	O	O
433	dat	O	O
434	het	(90	O
435	bezwaarschrift	90)	O
436	ten	O	O
437	minste	O	O
438	de	(113	O
439	volgende	O	O
440	gegevens	113)	O
441	bevat	O	O
442	:	O	O
443	uw	(116|(115|(114	O
444	naam	114)	O
445	,	O	O
446	adres	115)	O
447	en	O	O
448	handtekening	116)	O
449	een	(117	O
450	omschrijving	O	O
451	van	O	O
452	het	(118	O
453	besluit	O	O
454	waartegen	O	O
455	het	(90	O
456	bezwaarschrift	90)	O
457	is	O	O
458	gericht	118)|117)	O
459	(	O	O
460	u	(119)	O
461	kunt	O	O
462	bijvoorbeeld	O	O
463	datum	O	O
464	en	O	O
465	kenmerk	(120	O
466	van	O	O
467	de	(103	O
468	brief	103)|120)	O
469	vermelden	O	O
470	of	O	O
471	een	(121	O
472	kopie	121)	O
473	meesturen	O	O
474	)	O	O
475	de	(122	O
476	reden(en	O	O
477	)	O	O
478	waarom	O	O
479	u	(123)	O
480	bezwaar	(124)	O
481	maakt	122)	O
482	.	O	O
483	Wanneer	O	O
484	u	(125)	O
485	een	(90	O
486	bezwaarschrift	90)	O
487	indient	O	O
488	,	O	O
489	kunt	O	O
490	u	(126)	O
491	tevens	O	O
492	een	(127	O
493	verzoek	127)	O
494	indienen	O	O
495	tot	O	O
496	het	(128	O
497	treffen	O	O
498	van	O	O
499	een	(129	O
500	voorlopige	O	O
501	voorziening	129)	O
502	bij	O	O
503	de	(130	O
504	voorzieningenrechter	O	O
505	van	O	O
506	de	(131	O
507	rechtbank	O	O
508	Midden-Nederland	131)	O
509	,	O	O
510	postbus	(132	O
511	16005	132)	O
512	,	O	O
513	3500	O	O
514	DA	O	O
515	Utrecht	130)|128)	O
516	.	O	O
