	token	coref	ner
199	mededelingen	68)|(69)	O
200	.	O	O
201	De	(66	O
202	voorzitter	66)	O
203	opent	O	O
204	de	(70	O
205	vergadering	70)	O
206	en	O	O
207	heet	O	O
208	de	(71	O
209	aanwezigen	71)	O
210	welkom	O	O
211	,	O	O
212	ook	(72	O
213	de	O	O
214	mensen	O	O
215	die	O	O
216	thuis	O	O
217	meekijken	72)	O
218	.	O	O
219	Tijdens	O	O
220	de	(74|(73	O
221	middagschorsing	73)	O
222	,	O	O
223	rond	O	O
224	13.00	(75	O
225	uur	75)|74)	O
226	,	O	O
227	zal	O	O
228	de	(76	O
229	presentatie	O	O
230	van	O	O
231	de	(77	O
232	Programmabegroting	O	O
233	2023	77)|76)|(78)	O
234	plaatsvinden	O	O
235	in	O	O
236	de	(79	O
237	hal	O	O
238	van	O	O
239	het	(80	O
240	stadhuis	80)|79)	O
241	.	O	O
242	Iedereen	(81)	O
243	is	O	O
244	daar	(82)	O
245	uiteraard	O	O
246	van	O	O
247	harte	(83)	O
248	bij	O	O
249	uitgenodigd	O	O
250	.	O	O
251	Bericht	(84	O
252	van	O	O
253	verhindering	84)|(85)	O
254	is	O	O
255	ingekomen	O	O
256	van	O	O
257	de	(86	O
258	leden	O	O
259	Talhoui	(87)|(88	S-PER
260	,	O	O
261	Van	(55	B-PER
262	der	O	I-PER
263	Graaf	55)	E-PER
264	en	O	O
265	Bos	88)|86)|(89)	S-PER
266	.	O	O
267	Namens	O	O
268	de	(90	O
269	raad	90)	O
270	wil	O	O
271	zij	(66)	O
272	de	(89	O
273	heer	O	O
274	Bos	89)	S-PER
275	heel	(91	O
276	veel	O	O
277	sterkte	91)	O
278	wensen	O	O
279	met	O	O
280	het	(93|(92	O
281	verlies	O	O
282	van	O	O
283	zijn	(89)|(95|(94	O
284	vader	94)	O
285	,	O	O
286	tevens	(96|(94	O
287	fractiemedewerker	O	O
288	van	O	O
289	Stadsbelang	(97	O
290	Utrecht	97)|94)	O
291	,	O	O
292	Hein	O	B-PER
293	Bos.	96)|95)|92)	E-PER
294	2.	O	O
295	Vaststelling	(98	O
296	agenda	98)	O
297	.	O	O
298	De	(99	O
299	agenda	99)|93)	O
300	.	O	O
301	De	(66	O
302	voorzitter	66)	O
303	opent	O	O
304	de	(70	O
305	vergadering	70)	O
306	en	O	O
307	heet	O	O
308	de	(71	O
309	aanwezigen	71)	O
310	welkom	O	O
311	,	O	O
312	ook	(100	O
313	de	O	O
314	mensen	O	O
315	die	O	O
316	thuis	O	O
317	meekijken	100)	O
318	.	O	O
319	Tijdens	O	O
320	de	(102|(101	O
321	middagschorsing	101)	O
322	,	O	O
323	rond	O	O
324	13.00	(103	O
325	uur	103)|102)	O
326	,	O	O
327	zal	O	O
328	de	(104	O
329	presentatie	O	O
330	van	O	O
331	de	(77	O
332	Programmabegroting	O	O
333	2023	77)|104)|(105)	O
334	plaatsvinden	O	O
335	in	O	O
336	de	(79	O
337	hal	O	O
338	van	O	O
339	het	(80	O
340	stadhuis	80)|79)	O
341	.	O	O
342	Iedereen	(81)	O
343	is	O	O
344	daar	(106)	O
345	uiteraard	O	O
346	van	O	O
347	harte	(107)	O
348	bij	O	O
349	uitgenodigd	O	O
350	.	O	O
351	Bericht	(84	O
352	van	O	O
353	verhindering	84)|(108)	O
354	is	O	O
355	ingekomen	O	O
356	van	O	O
357	de	(86	O
358	leden	O	O
359	Talhoui	(109)|(110	S-PER
360	,	O	O
361	Van	(55	B-PER
362	der	O	I-PER
363	Graaf	55)	E-PER
364	en	O	O
365	Bos	110)|86)|(89)	S-PER
366	.	O	O
367	Namens	O	O
368	de	(90	O
369	raad	90)	O
370	wil	O	O
371	zij	(66)	O
372	de	(89	O
373	heer	O	O
374	Bos	89)	S-PER
375	heel	(111	O
376	veel	O	O
377	sterkte	111)	O
378	wensen	O	O
379	met	O	O
380	het	O	O
381	verlies	O	O
382	van	O	O
383	zijn	(89)|(114|(113|(112	O
384	vader	112)	O
385	,	O	O
386	tevens	(112	O
387	fractiemedewerker	O	O
388	van	O	O
389	Stadsbelang	(97	O
390	Utrecht	97)|112)|113)	O
391	,	O	O
392	Hein	O	B-PER
393	Bos.	114)	E-PER
394	2.	O	O
395	Vaststelling	O	O
396	agenda	O	O
397	.	O	O
398	De	(115	O
399	agenda	115)	O
400	wordt	O	O
401	zonder	O	O
402	stemming	(116)	O
403	ongewijzigd	O	O
404	vastgesteld	O	O
405	.	O	O
406	3.	O	O
407	Ingekomen	(117	O
408	stukken	O	O
409	.	O	O
410	Raadsvergadering	(119|(118	O
411	van	O	O
412	15	O	O
413	september	O	O
414	2022	O	O
415	2	118)	O
416	Met	O	O
417	betrekking	O	O
418	tot	O	O
419	de	(120	O
420	ingekomen	O	O
421	stukken	120)|119)|117)	O
422	wordt	O	O
423	zonder	O	O
424	stemming	(121)	O
425	besloten	O	O
426	overeenkomstig	O	O
427	hetgeen	O	O
428	daaromtrent	O	O
429	is	O	O
430	voorgesteld	O	O
431	.	O	O
432	De	(122	O
433	voorzitter	122)	O
434	merkt	O	O
435	op	O	O
436	dat	O	O
437	men	(123)	O
438	onder	O	O
439	de	(124	O
440	ingekomen	O	O
441	stukken	124)	O
442	een	(126|(125	O
443	brief	O	O
444	aantreft	O	O
445	van	O	O
446	Carolien	(127|(55	B-PER
447	de	O	I-PER
448	Boer	55)	E-PER
449	,	O	O
450	waarin	O	O
451	zij	(55)	O
452	haar	(55)|(128	O
453	afscheid	O	O
454	als	O	O
455	lid	(55	O
456	van	O	O
457	onze	(129)|(130	O
458	Rekenkamer	130)|55)|128)	O
459	aankondigt	127)|125)	O
460	.	O	O
461	Carolien	(131)	S-PER
462	kan	O	O
463	vandaag	O	O
464	niet	O	O
465	aanwezig	O	O
466	zijn	126)	O
467	,	O	O
468	maar	O	O
469	volgt	O	O
470	de	(132	O
471	raadsvergadering	132)	O
472	vanuit	O	O
473	huis	(133)	O
474	.	O	O
475	Dat	(134)	O
476	is	O	O
477	helaas	O	O
478	niet	O	O
479	zonder	O	O
480	reden	(135)	O
481	,	O	O
482	want	O	O
483	zij	(55)	O
484	heeft	O	O
485	onlangs	O	O
486	aangekondigd	O	O
487	dat	O	O
488	zij	(55)	O
489	vanwege	O	O
490	gezondheidsredenen	(136)	O
491	stopt	O	O
492	met	O	O
493	haar	(55)|(137	O
494	werk	O	O
495	als	O	O
496	lid	(55	O
497	van	O	O
498	de	(130	O
499	Rekenkamer	130)|55)|137)	O
500	.	O	O
501	In	O	O
502	de	(138	O
503	brief	O	O
504	waarin	O	O
505	zij	(55)	O
506	haar	(55)|(139	O
507	vertrek	139)	O
508	aankondigt	138)	O
509	,	O	O
510	schrijft	O	O
511	zij	(55)	O
512	dat	O	O
513	ze	(55)	O
514	sinds	O	O
515	haar	(55)|(140	O
516	komst	O	O
517	in	O	O
518	2018	140)|(141)	O
519	altijd	O	O
520	met	O	O
521	veel	(142	O
522	plezier	142)	O
523	bestuurslid	O	O
524	van	O	O
525	onze	(143)|(130	O
526	Rekenkamer	130)	O
527	was	O	O
528	.	O	O
529	Haar	(55)|(144	O
530	hoogtepunten	144)	O
531	waren	O	O
532	de	(145	O
533	bijdragen	O	O
534	aan	O	O
535	de	(146	O
536	onderzoeken	O	O
537	rond	O	O
538	de	(148|(147	O
539	Participatiewet	147)	O
540	,	O	O
541	de	(149	O
542	laaggeletterdheid	149)	O
543	en	O	O
544	de	(150	O
545	energietransitie	150)|148)|146)|145)	O
546	.	O	O
547	Zij	(55)	O
548	kijkt	O	O
549	vooral	O	O
550	met	O	O
551	veel	(151	O
552	voldoening	151)	O
553	terug	O	O
554	op	O	O
555	de	(153|(152	O
556	goede	O	O
557	samenwerking	O	O
558	tussen	O	O
559	bestuur	(154	O
560	en	O	O
561	staf	(155	O
562	van	O	O
563	de	(130	O
564	Rekenkamer	130)|155)|154)|152)	O
565	en	O	O
566	natuurlijk	O	O
567	met	O	O
568	de	(2	O
569	gemeenteraad	2)|153)	O
570	.	O	O
571	Zij	(55)	O
572	had	O	O
573	altijd	O	O
574	een	(156	O
575	scherp	O	O
576	oog	O	O
577	voor	O	O
578	het	(157	O
579	ingewikkelde	O	O
580	krachtenveld	O	O
581	waarin	O	O
582	overheidsorganisaties	(158)	O
583	moeten	O	O
584	werken	157)|156)	O
585	.	O	O
586	Bij	O	O
587	haar	(55)|(159	O
588	komst	O	O
589	,	O	O
590	vijf	(160	O
591	jaar	160)	O
592	geleden	159)	O
593	,	O	O
594	leerde	O	O
595	de	(90	O
596	raad	90)	O
597	haar	(55)	O
598	kennen	O	O
599	als	O	O
600	een	(55	O
601	groot	O	O
602	voorstander	O	O
603	van	O	O
604	andere	(161	O
605	en	O	O
606	nieuwe	O	O
607	onderzoeksmethoden	161)|55)	O
608	,	O	O
609	anders	O	O
610	dan	O	O
611	die	(162)	O
612	de	(130	O
613	Rekenkamer	130)	O
614	altijd	O	O
615	gewend	O	O
616	was	O	O
617	.	O	O
618	Zij	(90)	O
619	wilde	O	O
620	niet	(164|(163	O
621	alleen	O	O
622	ambtenaren	163)|(165)	O
623	en	O	O
624	betrokken	(166	O
625	organisaties	166)|164)	O
626	interviewen	O	O
627	,	O	O
628	maar	O	O
629	maakte	O	O
630	zich	(167)	O
631	ook	O	O
632	hard	O	O
633	voor	O	O
634	het	(168	O
635	houden	O	O
636	van	O	O
637	peilingen	(170|(169	O
638	onder	O	O
639	de	(171	O
640	Utrechters	171)|169)	O
641	en	O	O
642	het	(172	O
643	uitvoeren	O	O
644	van	O	O
645	casestudy	(173	O
646	's	173)|172)|170)|168)	O
647	.	O	O
648	De	(174	O
649	resultaten	O	O
650	daarvan	174)	O
651	moeten	O	O
652	op	O	O
653	een	(175	O
654	aansprekende	O	O
655	,	O	O
656	begrijpelijke	O	O
657	en	O	O
658	niet	O	O
659	te	O	O
660	uitgebreide	O	O
661	manier	175)	O
662	worden	O	O
663	gepresenteerd	O	O
664	.	O	O
665	Zij	(176)	O
666	liet	O	O
667	liever	(178|(177	O
668	beelden	177)	O
669	en	O	O
670	infographics	178)|(179)	O
671	zien	O	O
672	.	O	O
673	Ze	(176)	O
674	stelt	O	O
675	vast	O	O
676	dat	O	O
677	Carolien	(131)	S-PER
678	het	(180	O
679	bewijs	O	O
680	is	O	O
681	dat	O	O
682	het	(181	O
683	belangrijke	O	O
684	werk	O	O
685	van	O	O
686	de	(130	O
687	Rekenkamer	130)|181)	O
688	voortdurend	O	O
689	in	O	O
690	ontwikkeling	(182)	O
691	is	180)	O
692	.	O	O
693	Zij	(131)	O
694	hoopt	O	O
695	dat	O	O
696	dat	(183)	O
697	zo	O	O
698	blijft	O	O
699	,	O	O
700	maar	O	O
701	daar	(184)	O
702	heeft	O	O
703	zij	(131)	O
704	alle	(185	O
705	vertrouwen	185)	O
706	in	O	O
707	.	O	O
708	Helaas	O	O
709	zal	O	O
710	dat	(186)	O
711	gebeuren	O	O
712	zonder	O	O
713	de	(188|(187	O
714	inzet	187)	O
715	en	O	O
716	de	(189	O
717	kennis	O	O
718	van	O	O
719	Carolien	189)|188)|(131)	S-PER
720	,	O	O
721	en	O	O
722	haar	(131)|(190	O
723	wil	O	O
724	om	O	O
725	altijd	O	O
726	weer	O	O
727	te	O	O
728	vernieuwen	190)	O
729	.	O	O
730	Namens	O	O
731	alle	(192|(191	O
732	leden	O	O
733	van	O	O
734	de	(90	O
735	raad	90)|191)	O
736	en	O	O
737	de	(193	O
738	medewerkers	193)|192)	O
739	dankt	O	O
740	zij	(131)	O
741	Carolien	(131)	S-PER
742	voor	O	O
743	haar	(131)|(194	O
744	waardevolle	O	O
745	inzet	O	O
746	voor	O	O
747	de	(90	O
748	stad	90)|194)	O
749	.	O	O
750	Zij	(131)	O
751	wenst	O	O
752	Carolien	(131)	S-PER
753	het	(195	O
754	allerbeste	195)	O
755	toe	O	O
756	.	O	O
757	(	O	O
758	Applaus	(196)	O
759	.	O	O
760	)	O	O
761	(	O	O
762	De	(197	O
763	voorzitter	197)	O
764	toont	O	O
765	daarop	O	O
766	het	(198	O
767	schilderij	O	O
768	dat	O	O
769	Carolien	(131)	S-PER
770	als	O	O
771	dank	(199)	O
772	ontvangt	198)	O
773	.	O	O
774	)	O	O
775	De	(201|(200	O
776	heer	O	O
777	Venhoeven	200)	S-PER
778	(	O	O
779	voorzitter	(202	O
780	Rekenkamer	202)|201)	O
781	)	O	O
782	merkt	O	O
783	op	O	O
784	dat	O	O
785	hij	(203)|(204	O
786	en	O	O
787	de	(205	O
788	overige	O	O
789	leden	O	O
790	van	O	O
791	de	(130	O
792	Rekenkamer	130)|205)|204)	O
793	nu	O	O
794	niet	O	O
795	in	O	O
796	niet	O	O
797	in	O	O
798	de	(206	O
799	gelegenheid	O	O
800	zijn	O	O
801	om	O	O
802	Carolien	(131)	S-PER
803	persoonlijk	O	O
804	toe	O	O
805	te	O	O
806	spreken	206)	O
807	.	O	O
808	Voor	O	O
809	nu	O	O
810	wil	O	O
811	hij	(207)	O
812	haar	(208)	O
813	alvast	O	O
814	danken	O	O
815	voor	O	O
816	haar	(208)|(209	O
817	waardevolle	O	O
818	bijdragen	O	O
819	aan	O	O
820	de	(130	O
821	Rekenkamer	130)|209)	O
822	en	O	O
823	voor	O	O
824	de	(210	O
825	prettige	O	O
826	collegialiteit	210)	O
827	.	O	O
828	De	(211	O
829	leden	O	O
830	van	O	O
831	de	(130	O
832	Rekenkamer	130)|211)	O
833	zullen	O	O
834	haar	(212)	O
835	missen	O	O
836	,	O	O
837	maar	O	O
838	zullen	O	O
839	met	O	O
840	een	(214|(213	O
841	glimlach	213)	O
842	en	O	O
843	vol	O	O
844	waardering	214)|(215)	O
845	aan	O	O
846	haar	(212)	O
847	terugdenken	O	O
848	.	O	O
849	Wanneer	O	O
850	Carolien	(131)	S-PER
851	daaraan	O	O
852	toe	O	O
853	is	O	O
854	,	O	O
855	neemt	O	O
856	de	(130	O
857	Rekenkamer	130)	O
858	nog	O	O
859	graag	O	O
860	persoonlijk	O	O
861	afscheid	O	O
862	van	O	O
863	haar	(130)	O
864	.	O	O
865	Hij	(131)	O
866	wenst	O	O
867	haar	(130)	O
868	alle	(216	O
869	goeds	216)	O
870	,	O	O
871	ook	O	O
872	namens	O	O
873	Sjoerd	(217)|(218	S-PER
874	,	O	O
875	Gerth	(219)	S-PER
876	,	O	O
877	Gert	(220	B-PER
878	Jan	220)	E-PER
879	en	O	O
880	alle	(221	O
881	nu	O	O
882	niet	O	O
883	aanwezige	O	O
884	collega's	O	O
885	van	O	O
886	de	(130	O
887	Rekenkamer	130)|221)|218)	O
888	.	O	O
889	De	(197	O
890	voorzitter	197)	O
891	merkt	O	O
892	op	O	O
893	dat	O	O
894	de	(222	O
895	procedure	O	O
896	voor	O	O
897	de	(223	O
898	opvolging	O	O
899	van	O	O
900	Carolien	223)|222)|(131)	S-PER
901	nu	O	O
902	in	O	O
903	gang	O	O
904	wordt	O	O
905	gezet	O	O
906	.	O	O
907	Zij	(197)	O
908	hoopt	O	O
909	dat	O	O
910	er	O	O
911	over	O	O
912	enige	(224	O
913	weken	224)	O
914	een	(225	O
915	opvolger	225)	O
916	benoemd	O	O
917	kan	O	O
918	worden	O	O
919	.	O	O
920	4.	(226	O
921	Geheimhouding	226)|(227)	O
922	.	O	O
923	De	(197	O
924	voorzitter	197)	O
925	stelt	O	O
926	voor	O	O
927	om	O	O
928	,	O	O
929	conform	O	O
930	artikel	(228	O
931	25	(229)	O
932	,	O	O
933	lid	O	O
934	3	(230)	O
935	van	O	O
936	de	(231	O
937	Gemeentewet	231)|228)	O
938	,	O	O
939	de	(232	O
940	door	O	O
941	het	(233	O
942	college	233)	O
943	opgelegde	O	O
944	geheimhouding	O	O
945	van	O	O
946	de	(234	O
947	documenten	234)	O
948	zoals	O	O
949	vermeld	O	O
950	in	O	O
951	de	(235	O
952	bij	O	O
953	de	(115	O
954	agenda	115)	O
955	gevoegde	O	O
956	bijlage	O	O
957	,	O	O
958	inclusief	O	O
959	de	(236	O
960	aanpassing	236)|235)|232)	O
961	,	O	O
962	te	O	O
963	bekrachtigen	O	O
964	.	O	O
965	Zij	(237)	O
966	heeft	O	O
967	begrepen	O	O
968	dat	O	O
969	de	(238	O
970	heer	O	O
971	Sungur	238)	S-PER
972	een	(239	O
973	opmerking	O	O
974	heeft	O	O
975	met	O	O
976	betrekking	O	O
977	tot	O	O
978	het	O	O
979	proces	O	O
980	bij	O	O
981	een	(241|(240	O
982	van	O	O
983	Raadsvergadering	(242	O
984	van	O	O
985	15	(243	O
986	september	O	O
987	2022	243)|242)|240)	O
988	3	O	O
989	de	(244	O
990	geheime	O	O
991	stukken	244)|241)|239)	O
992	.	O	O
993	Als	O	O
994	het	(245)	O
995	bij	O	O
996	opmerkingen	(246	O
997	over	O	O
998	het	(247	O
999	proces	247)|246)	O
1000	blijft	O	O
1001	,	O	O
1002	kunnen	O	O
1003	die	(248)	O
1004	in	O	O
1005	openbaarheid	(249)	O
1006	gemaakt	O	O
1007	worden	O	O
1008	.	O	O
1009	Zij	(250)	O
1010	stelt	O	O
1011	vast	O	O
1012	dat	O	O
1013	dit	(251)	O
1014	het	(252	O
1015	geval	252)	O
1016	is	O	O
1017	.	O	O
1018	De	(253|(238	O
1019	heer	O	O
1020	Sungur	238)	S-PER
1021	(	O	O
1022	DENK	253)|(254)	O
1023	)	O	O
1024	wil	O	O
1025	dat	O	O
1026	de	(255	O
1027	geheimhouding	O	O
1028	ten	O	O
1029	aanzien	O	O
1030	van	O	O
1031	het	(256	O
1032	conceptrapport	O	O
1033	Constitutioneel	O	O
1034	racisme	256)|255)	O
1035	niet	O	O
1036	wordt	O	O
1037	bekrachtigd	O	O
1038	.	O	O
1039	De	(257	O
1040	afspraak	O	O
1041	in	O	O
1042	de	(90	O
1043	raad	90)|257)	O
1044	is	O	O
1045	dat	O	O
1046	alles	(258)	O
1047	openbaar	O	O
1048	en	O	O
1049	transparant	O	O
1050	behandeld	O	O
1051	wordt	O	O
1052	,	O	O
1053	tenzij	O	O
1054	dat	(259)	O
1055	niet	O	O
1056	mogelijk	O	O
1057	is	O	O
1058	.	O	O
1059	Nu	O	O
1060	wordt	O	O
1061	een	(260	O
1062	rapport	260)	O
1063	volledig	O	O
1064	geheim	O	O
1065	verklaard	O	O
1066	,	O	O
1067	wat	O	O
1068	niet	O	O
1069	strookt	O	O
1070	met	O	O
1071	de	(261	O
1072	visie	O	O
1073	op	O	O
1074	een	(262	O
1075	open	O	O
1076	overheid	262)|261)	O
1077	.	O	O
1078	Zijn	(263)|(264	O
1079	fractie	264)	O
1080	heeft	O	O
1081	in	O	O
1082	de	(265	O
1083	commissie	265)	O
1084	nadrukkelijk	O	O
1085	aangegeven	O	O
1086	dat	O	O
1087	ze	(266)	O
1088	best	O	O
1089	snapt	O	O
1090	dat	O	O
1091	onderdelen	(267	O
1092	in	O	O
1093	het	(256	O
1094	conceptrapport	256)|267)	O
1095	zwart	O	O
1096	gelakt	O	O
1097	moeten	O	O
1098	worden	O	O
1099	,	O	O
1100	maar	O	O
1101	dat	O	O
1102	ze	(265)	O
1103	niet	O	O
1104	kan	O	O
1105	vatten	O	O
1106	dat	O	O
1107	wordt	O	O
1108	aangedrongen	O	O
1109	op	O	O
1110	een	(268	O
1111	volledige	O	O
1112	en	O	O
1113	permanente	O	O
1114	geheimhouding	268)	O
1115	.	O	O
1116	Als	O	O
1117	reden	(269)	O
1118	wordt	O	O
1119	opgegeven	O	O
1120	:	O	O
1121	een	(270	O
1122	eventueel	O	O
1123	openbaar	O	O
1124	debat	O	O
1125	over	O	O
1126	een	(271	O
1127	onvoldragen	O	O
1128	en	O	O
1129	niet	O	O
1130	bestuurlijk	O	O
1131	onderschreven	O	O
1132	conceptversie	271)|270)	O
1133	dient	O	O
1134	niet	O	O
1135	het	(272	O
1136	doel	O	O
1137	van	O	O
1138	onze	(273)|(274	O
1139	gezamenlijke	O	O
1140	inzet	O	O
1141	op	O	O
1142	dit	(275	O
1143	belangrijke	O	O
1144	onderwerp	275)|274)|272)	O
1145	.	O	O
1146	Hij	(276)	O
1147	vindt	O	O
1148	dit	(277)	O
1149	geen	O	O
1150	grond	O	O
1151	om	O	O
1152	iets	(278)	O
1153	geheim	O	O
1154	te	O	O
1155	verklaren	O	O
1156	.	O	O
1157	Zijn	(276)|(264	O
1158	fractie	264)	O
1159	vindt	O	O
1160	juist	O	O
1161	openheid	(279)	O
1162	heel	O	O
1163	belangrijk	O	O
1164	.	O	O
1165	Er	O	O
1166	zit	O	O
1167	bijna	O	O
1168	een	(280	O
1169	verschil	O	O
1170	van	O	O
1171	80	(281	O
1172	pagina's	281)	O
1173	tussen	O	O
1174	het	(283|(282	O
1175	concept	282)	O
1176	en	O	O
1177	het	(284	O
1178	definitieve	O	O
1179	rapport	284)|283)|280)	O
1180	.	O	O
1181	Daar	(285)	O
1182	wil	O	O
1183	hij	(276)	O
1184	in	O	O
1185	alle	(286	O
1186	openheid	286)	O
1187	vragen	(287)	O
1188	over	O	O
1189	kunnen	O	O
1190	stellen	O	O
1191	.	O	O
1192	Ook	(288	O
1193	de	O	O
1194	conclusies	288)	O
1195	lijken	O	O
1196	van	O	O
1197	elkaar	(288)	O
1198	te	O	O
1199	verschillen	O	O
1200	.	O	O
1201	Vage	(289	O
1202	redenen	O	O
1203	als	O	O
1204	mensen	289)|(290)	O
1205	moeten	O	O
1206	in	O	O
1207	openheid	(291)|(292	O
1208	of	O	O
1209	vrijheid	292)|(293)	O
1210	kunnen	O	O
1211	spreken	O	O
1212	,	O	O
1213	het	(294)|(295	O
1214	waren	O	O
1215	ruwe	(296	O
1216	schetsen	296)|295)	O
1217	hebben	O	O
1218	hier	O	O
1219	wat	O	O
1220	zijn	(276)|(297	O
1221	fractie	297)	O
1222	betreft	O	O
1223	niets	(298)	O
1224	mee	O	O
1225	te	O	O
1226	maken	O	O
1227	.	O	O
1228	Hij	(299)	O
1229	hoopt	O	O
1230	dat	O	O
1231	de	(90	O
1232	raad	90)	O
1233	het	(300	O
1234	belang	O	O
1235	van	O	O
1236	een	(262	O
1237	open	O	O
1238	overheid	262)|300)	O
1239	hoog	O	O
1240	in	O	O
1241	het	(301	O
1242	vaandeel	301)	O
1243	heeft	O	O
1244	staan	O	O
1245	en	O	O
1246	de	(302	O
1247	geheimhouding	302)	O
1248	niet	O	O
1249	zal	O	O
1250	bekrachtigen	O	O
1251	.	O	O
1252	Mocht	O	O
1253	dit	(303)	O
1254	wel	O	O
1255	gebeuren	O	O
1256	,	O	O
1257	dan	O	O
1258	kondigt	O	O
1259	hij	(299)	O
1260	aan	O	O
1261	dat	O	O
1262	hij	(299)	O
1263	als	O	O
1264	belanghebbende	(304	O
1265	daartegen	304)	O
1266	bezwaar	(305)	O
1267	zal	O	O
1268	maken	O	O
1269	en	O	O
1270	eventueel	O	O
1271	ook	O	O
1272	in	O	O
1273	beroep	(306)	O
1274	zal	O	O
1275	gaan	O	O
1276	bij	O	O
1277	de	(307	O
1278	rechter	307)	O
1279	.	O	O
1280	De	(308	O
1281	heer	O	O
1282	Dijkstra	O	S-PER
1283	(	O	O
