	token	gold	model
117	Aanleiding	['']	[]
118	voor	['']	[]
119	het	['']	[]
120	aanvullend	['']	[]
121	bodemonderzoek	['']	[]
122	zijn	['']	[]
123	de	['']	[]
124	resultaten	['']	[]
125	van	['']	[]
126	het	['']	[]
127	door	['']	[]
128	ons	['B_PER_1']	['B_PER_6']
129	bureau	['']	[]
130	uitgevoerde	['']	[]
131	verkennend	['']	[]
132	onderzoek	['']	[]
133	(	['']	[]
134	Berm-	['']	[]
135	en	['']	[]
136	wegmateriaalonderzoek	['']	[]
137	plangebied	['']	[]
138	Eglantier/Gildelaan	['']	[]
139	te	['']	[]
140	Apeldoorn	['']	[]
141	,	['']	[]
142	kenmerk	['']	[]
143	164628	['']	[]
144	,	['']	[]
145	15	['']	[]
146	augustus	['']	[]
147	2006	['']	[]
148	)	['']	[]
149	.	['']	[]
150	Deze	['']	[]
151	locatie	['']	[]
152	is	['']	[]
153	onderzocht	['']	[]
154	in	['']	[]
155	het	['']	[]
156	kader	['']	[]
157	van	['']	[]
158	de	['']	[]
159	geplande	['']	[]
160	herinrichting-	['']	[]
161	en	['']	[]
162	renovatiewerkzaamheden	['']	[]
163	.	['']	[]
164	Hierbij	['']	[]
165	is	['']	[]
166	ter	['']	[]
167	plaatse	['']	[]
168	van	['']	[]
169	deellocatie	['']	[]
170	B2	['']	[]
171	een	['']	[]
172	tussenwaarde	['']	[]
173	overschrijding	['']	[]
174	aan	['']	[]
175	PAK	['']	[]
176	(	['']	[]
177	37	['']	[]
178	mg/kg	['']	[]
179	ds	['']	[]
180	)	['']	[]
181	in	['']	[]
182	mengmonster	['']	[]
183	MM02	['']	[]
184	gemeten	['']	[]
185	.	['']	[]
186	Om	['']	[]
187	meer	['']	[]
188	inzicht	['']	[]
189	te	['']	[]
190	krijgen	['']	[]
191	in	['']	[]
192	de	['']	[]
193	mate	['']	[]
194	en	['']	[]
195	omvang	['']	[]
196	van	['']	[]
197	deze	['']	[]
198	verontreiniging	['']	[]
199	is	['']	[]
200	een	['']	[]
201	aanvullend	['']	[]
202	bodemonderzoek	['']	[]
203	uitgevoerd	['']	[]
204	.	['']	[]
205	Het	['']	[]
206	doel	['']	[]
207	van	['']	[]
208	het	['']	[]
209	onderzoek	['']	[]
210	is	['']	[]
211	het	['']	[]
212	vaststellen	['']	[]
213	van	['']	[]
214	de	['']	[]
215	mate	['']	[]
216	en	['']	[]
217	omvang	['']	[]
218	van	['']	[]
219	de	['']	[]
220	milieuhygiënische	['']	[]
221	kwaliteit	['']	[]
222	van	['']	[]
223	de	['']	[]
224	grond	['']	[]
225	en	['']	[]
226	de	['']	[]
227	eventuele	['']	[]
228	gebruiksbeperkingen	['']	[]
229	.	['']	[]
230	Het	['']	[]
231	onderzoeksgebied	['']	[]
232	betreft	['']	[]
233	een	['']	[]
234	openbare	['']	[]
235	weg	['']	[]
236	en	['']	[]
237	is	['']	[]
238	gelegen	['']	[]
239	in	['']	[]
240	het	['']	[]
241	plangebied	['']	[]
242	'	['']	[]
243	woonwijk/winkelcentrum	['']	[]
244	Eglantier	['']	[]
245	'	['']	[]
246	te	['']	[]
247	Apeldoorn	['']	[]
248	.	['']	[]
249	Deze	['']	[]
250	wordt	['']	[]
251	globaal	['']	[]
252	omsloten	['']	[]
253	door	['']	[]
254	de	['']	[]
255	Eglantier	['']	[]
256	(	['']	[]
257	zuidwest	['']	[]
258	zijde	['']	[]
259	)	['']	[]
260	,	['']	[]
261	de	['']	[]
262	Gildelaan	['']	[]
263	(	['']	[]
264	zuidoost	['']	[]
265	zijde	['']	[]
266	)	['']	[]
267	,	['']	[]
268	een	['']	[]
269	vijverpartij	['']	[]
270	(	['']	[]
271	noordzijde	['']	[]
272	)	['']	[]
273	en	['']	[]
274	het	['']	[]
275	wijkontmoetingscentrum	['']	[]
276	.	['']	[]
277	In	['']	[]
278	het	['']	[]
279	verkennende	['']	[]
280	bodemonderzoek	['']	[]
281	is	['']	[]
282	in	['']	[]
283	mengmonster	['']	[]
284	MM02	['']	[]
285	,	['']	[]
286	bestaande	['']	[]
287	uit	['']	[]
288	de	['']	[]
289	bovengrond	['']	[]
290	van	['']	[]
291	de	['']	[]
292	boringen	['']	[]
293	6	['']	[]
294	t/m	['']	[]
295	10	['']	[]
296	,	['']	[]
297	een	['']	[]
298	matig	['']	[]
299	verhoogd	['']	[]
300	gehalte	['']	[]
301	aan	['']	[]
302	PAK	['']	[]
303	aangetoond	['']	[]
304	.	['']	[]
305	Daarom	['']	[]
306	zijn	['']	[]
307	ter	['']	[]
308	plaatse	['']	[]
309	in	['']	[]
310	totaal	['']	[]
311	10	['']	[]
312	aanvullende	['']	[]
313	boringen	['']	[]
314	verricht	['']	[]
315	tot	['']	[]
316	0,9	['']	[]
317	à	['']	[]
318	1,2	['']	[]
319	m	['']	[]
320	-mv	['']	[]
321	.	['']	[]
322	In	['']	[]
323	de	['']	[]
324	zandbovengrond	['']	[]
325	uit	['']	[]
326	nagenoeg	['']	[]
327	alle	['']	[]
328	boring	['']	[]
329	is	['']	[]
330	visueel	['']	[]
331	puin	['']	[]
332	waargenomen	['']	[]
333	,	['']	[]
334	variërend	['']	[]
335	van	['']	[]
336	kleine	['']	[]
337	tot	['']	[]
338	aanzienlijke	['']	[]
339	hoeveelheden	['']	[]
340	.	['']	[]
341	De	['']	[]
342	boorprofielen	['']	[]
343	met	['']	[]
344	daarin	['']	[]
345	de	['']	[]
346	visuele	['']	[]
347	waarnemingen	['']	[]
348	zijn	['']	[]
349	als	['']	[]
350	bijlage	['']	[]
351	toegevoegd	['']	[]
352	.	['']	[]
353	Tevens	['']	[]
354	is	['']	[]
355	een	['']	[]
356	overzichtstekening	['']	[]
357	bijgevoegd	['']	[]
358	.	['']	[]
359	Van	['']	[]
360	zowel	['']	[]
361	de	['']	[]
362	boven-	['']	[]
363	als	['']	[]
364	ondergrond	['']	[]
365	zijn	['']	[]
366	in	['']	[]
367	totaal	['']	[]
368	5	['']	[]
369	separate	['']	[]
370	monsters	['']	[]
371	op	['']	[]
372	polycyclische	['']	[]
373	aromatische	['']	[]
374	koolwaterstoffen	['']	[]
375	(	['']	[]
376	PAK	['']	[]
377	)	['']	[]
378	geanalyseerd	['']	[]
379	.	['']	[]
380	Daarnaast	['']	[]
381	is	['']	[]
382	het	['']	[]
383	percentage	['']	[]
384	organische	['']	[]
385	stof	['']	[]
386	en	['']	[]
387	lutum	['']	[]
388	bepaald	['']	[]
389	.	['']	[]
390	Het	['']	[]
391	laboratoriumonderzoek	['']	[]
392	is	['']	[]
393	uitgevoerd	['']	[]
394	door	['']	[]
395	het	['']	[]
396	geaccrediteerde	['']	[]
397	laboratorium	['']	[]
398	ACMAA	['']	[]
399	B.V	['']	[]
400	.	['']	[]
401	De	['']	[]
402	analysecertificaten	['']	[]
403	zijn	['']	[]
404	als	['']	[]
405	bijlage	['']	[]
406	toegevoegd	['']	[]
407	.	['']	[]
408	De	['']	[]
409	gehalten	['']	[]
410	zijn	['']	[]
411	getoetst	['']	[]
412	aan	['']	[]
413	de	['']	[]
414	streef-	['']	[]
415	en	['']	[]
416	interventiewaarden	['']	[]
417	uit	['']	[]
418	de	['']	[]
419	Wet	['']	[]
420	Bodembescherming	['']	[]
421	.	['']	[]
422	Het	['']	[]
423	resultaat	['']	[]
424	van	['']	[]
425	deze	['']	[]
426	toetsing	['']	[]
427	is	['']	[]
428	eveneens	['']	[]
429	als	['']	[]
430	een	['']	[]
431	bijlage	['']	[]
432	opgenomen	['']	[]
433	.	['']	[]
434	De	['']	[]
435	samenvatting	['']	[]
436	is	['']	[]
437	weegegeven	['']	[]
438	in	['']	[]
439	tabel	['']	[]
440	1	['']	[]
441	.	['']	[]
442	Milieu	['']	[]
443	&	['']	[]
444	Veiligheid	['']	[]
445	Zutphenseweg	['']	[]
446	31D	['']	[]
447	Postbus	['']	[]
448	321	['']	[]
449	7400	['']	[]
450	AH	['']	[]
451	Deventer	['']	[]
452	T	['']	[]
453	(	['']	[]
454	570	['']	[]
455	)	['']	[]
456	67	['']	[]
457	94	['']	[]
458	30	['']	[]
459	F	['']	[]
460	(	['']	[]
461	570	['']	[]
462	)	['']	[]
463	66	['']	[]
464	39	['']	[]
465	85	['']	[]
466	www.oranjewoud.nl	['']	[]
467	164628	['']	[]
468	Blad	['']	[]
469	2	['']	[]
470	van	['']	[]
471	2	['']	[]
472	Tabel	['']	[]
473	1	['']	[]
474	:	['']	[]
475	Onderzoeksresultaten	['']	[]
476	grond	['']	[]
477	(	['']	[]
478	Meng	['']	[]
479	)	['']	[]
480	monster	['']	[]
481	Diepte	['']	[]
482	in	['']	[]
483	m	['']	[]
484	-mv.	['']	[]
485	Veldwaarneming	['']	[]
486	Verhoogde	['']	[]
487	componenten	['']	[]
488	(	['']	[]
489	mg/kg	['']	[]
490	d.s.	['']	[]
491	)	['']	[]
492	Toetsing	['']	[]
493	WBB	['']	[]
494	Verkennend	['']	[]
495	bodemonderzoek	['']	[]
496	MM02	['']	[]
497	0,2-0,5	['']	[]
498	matig	['']	[]
499	tot	['']	[]
500	sterk	['']	[]
501	puinhoudend	['']	[]
502	min	['']	[]
503	.	['']	[]
504	olie	['']	[]
505	(	['']	[]
506	55	['']	[]
507	)	['']	[]
508	PAK	['']	[]
509	(	['']	[]
510	37	['']	[]
511	)	['']	[]
512	>	['']	[]
513	Streefwaarde	['']	[]
514	>	['']	[]
515	Tussenwaarde	['']	[]
516	Aanvullend	['']	[]
517	bodemonderzoek	['']	[]
518	06a	['']	[]
519	0,2-0,5	['']	[]
520	zwak	['']	[]
521	puinhoudend	['']	[]
522	PAK	['']	[]
523	(	['']	[]
524	2,1	['']	[]
525	)	['']	[]
526	>	['']	[]
527	Streefwaarde	['']	[]
528	07a	['']	[]
529	0,2-0,7	['']	[]
530	sporen	['']	[]
531	puin	['']	[]
532	PAK	['']	[]
533	(	['']	[]
534	1,8	['']	[]
535	)	['']	[]
536	>	['']	[]
537	Streefwaarde	['']	[]
538	08a	['']	[]
539	0,3-0,5	['']	[]
540	zwak	['']	[]
541	puinhoudend	['']	[]
542	PAK	['']	[]
543	(	['']	[]
544	14	['']	[]
545	)	['']	[]
546	>	['']	[]
547	Streefwaarde	['']	[]
548	09a	['']	[]
549	0,5-0,9	['']	[]
550	-	['']	[]
551	PAK	['']	[]
552	(	['']	[]
553	14	['']	[]
554	)	['']	[]
555	>	['']	[]
556	Streefwaarde	['']	[]
557	10a	['']	[]
558	0,25-0,4	['']	[]
559	zwak	['']	[]
560	puinhoudend	['']	[]
561	PAK	['']	[]
562	(	['']	[]
563	1,3	['']	[]
564	)	['']	[]
565	>	['']	[]
566	Streefwaarde	['']	[]
567	Uit	['']	[]
568	de	['']	[]
569	toetsing	['']	[]
570	blijkt	['']	[]
571	dat	['']	[]
572	het	['']	[]
573	gehalte	['']	[]
574	aan	['']	[]
575	PAK	['']	[]
576	de	['']	[]
577	betreffende	['']	[]
578	streefwaarde	['']	[]
579	overschrijdt	['']	[]
580	.	['']	[]
581	Het	['']	[]
582	matig	['']	[]
583	verhoogde	['']	[]
584	gehalte	['']	[]
585	zoals	['']	[]
586	deze	['']	[]
587	in	['']	[]
588	het	['']	[]
589	verkennend	['']	[]
590	onderzoek	['']	[]
591	is	['']	[]
592	aangetoond	['']	[]
593	,	['']	[]
594	is	['']	[]
595	niet	['']	[]
596	meer	['']	[]
597	aangetoond	['']	[]
598	.	['']	[]
599	Het	['']	[]
600	verhoogde	['']	[]
601	PAK-gehalte	['']	[]
602	is	['']	[]
603	naar	['']	[]
604	verwachting	['']	[]
605	te	['']	[]
606	relateren	['']	[]
607	aan	['']	[]
608	de	['']	[]
609	bijmengingen	['']	[]
610	met	['']	[]
611	puinresten	['']	[]
612	.	['']	[]
613	Vanuit	['']	[]
614	milieuhygiënisch	['']	[]
615	oogpunt	['']	[]
616	zijn	['']	[]
617	er	['']	[]
618	geen	['']	[]
619	belemmeringen	['']	[]
620	voor	['']	[]
621	de	['']	[]
622	herinrichting-	['']	[]
623	en	['']	[]
624	renovatiewerkzaamheden	['']	[]
625	ter	['']	[]
626	plaatse	['']	[]
627	van	['']	[]
628	het	['']	[]
629	onderhavige	['']	[]
630	onderzoeksgebied	['']	[]
631	.	['']	[]
632	Wel	['']	[]
633	dient	['']	[]
634	bij	['']	[]
635	grondverzet	['']	[]
636	rekening	['']	[]
637	gehouden	['']	[]
638	te	['']	[]
639	worden	['']	[]
640	met	['']	[]
641	het	['']	[]
642	vrijkomen	['']	[]
643	van	['']	[]
644	licht	['']	[]
645	verontreinigde	['']	[]
646	grond	['']	[]
647	met	['']	[]
648	puin	['']	[]
649	en	['']	[]
650	PAK	['']	[]
651	.	['']	[]
652	De	['']	[]
653	onderzoeksresultaten	['']	[]
654	geven	['']	[]
655	geen	['']	[]
656	aanleiding	['']	[]
657	voor	['']	[]
658	aanvullend	['']	[]
659	onderzoek	['']	[]
660	.	['']	[]
661	Wij	['B_PER_1']	['B_PER_7']
662	vertrouwen	['']	[]
663	erop	['']	[]
664	u	['B_PER_2']	['B_PER_5']
665	hiermee	['']	[]
666	van	['']	[]
667	dienst	['']	[]
668	te	['']	[]
669	zijn	['']	[]
670	geweest	['']	[]
671	.	['']	[]
672	Hoogachtend	['']	[]
673	,	['']	[]
674	Ingenieursbureau	['']	[]
675	'	['']	[]
676	Oranjewoud	['']	[]
677	'	['']	[]
678	B.V.	['']	[]
679	Thijs	['B_PER_1']	['B_PER_1']
680	Mosterman	['I_PER_1']	['I_PER_1']
