	token	gold	model
119	10	['']	[]
120	heer	['B_PER_10']	['B_PER_8']
121	B.	['I_PER_10']	['I_PER_8']
122	van	['I_PER_10']	['I_PER_8']
123	Steeg	['I_PER_10']	['I_PER_8']
124	(	['']	[]
125	CDA	['']	[]
126	)	['']	[]
127	,	['']	[]
128	mevrouw	['B_PER_11']	['B_PER_9']
129	H.	['I_PER_11']	['I_PER_9']
130	Assen	['I_PER_11']	['I_PER_9']
131	(	['']	[]
132	PvdA	['']	[]
133	)	['']	[]
134	,	['']	[]
135	mevrouw	['B_PER_12']	['B_PER_10']
136	T.	['I_PER_12']	['I_PER_10']
137	Meerding	['I_PER_12']	['I_PER_10']
138	(	['']	[]
139	VVD	['']	[]
140	)	['']	[]
141	,	['']	[]
142	mevrouw	['B_PER_13']	['B_PER_11']
143	E.	['I_PER_13']	['I_PER_11']
144	Kendir	['I_PER_13']	['I_PER_11']
145	(	['']	[]
146	Student	['']	[]
147	&	['']	[]
148	Starter	['']	[]
149	)	['']	[]
150	,	['']	[]
151	mevrouw	['B_PER_14']	['B_PER_12']
152	L.	['I_PER_14']	['I_PER_12']
153	de	['I_PER_14']	['I_PER_12']
154	Vries	['I_PER_14']	['I_PER_12']
155	(	['']	[]
156	Partij	['']	[]
157	voor	['']	[]
158	de	['']	[]
159	Dieren	['']	[]
160	)	['']	[]
161	,	['']	[]
162	en	['']	[]
163	de	['B_PER_15']	[]
164	heer	['I_PER_15']	['B_PER_13']
165	Bosch	['I_PER_15']	['I_PER_13']
166	(	['']	[]
167	PVV	['']	[]
168	)	['']	[]
169	,	['']	[]
170	de	['B_PER_16']	[]
171	heer	['I_PER_16']	['B_PER_14']
172	M.	['I_PER_16']	['I_PER_14']
173	Sungur	['I_PER_16']	['I_PER_14']
174	(	['']	[]
175	DENK	['']	[]
176	)	['']	[]
177	en	['']	[]
178	de	['']	[]
179	commissiegriffier	['']	[]
180	mevrouw	['B_PER_17']	['B_PER_15']
181	M.	['I_PER_17']	['I_PER_15']
182	Vos	['I_PER_17']	['I_PER_15']
183	.	['']	[]
184	Verslag	['']	[]
185	openbare	['']	[]
186	vergadering	['']	[]
187	commissie	['']	[]
188	Mens	['']	[]
189	&	['']	[]
190	Samenleving	['']	[]
191	d.d.	['']	[]
192	30	['']	[]
193	september	['']	[]
194	2021	['']	[]
195	1	['']	[]
196	.	['']	[]
197	Opening	['']	[]
198	en	['']	[]
199	mededelingen	['']	[]
200	.	['']	[]
201	.	['']	[]
202	.	['']	[]
203	.	['']	[]
204	.	['']	[]
205	.	['']	[]
206	.	['']	[]
207	.	['']	[]
208	.	['']	[]
209	.	['']	[]
210	.	['']	[]
211	.	['']	[]
212	.	['']	[]
213	.	['']	[]
214	.	['']	[]
215	.	['']	[]
216	.	['']	[]
217	.	['']	[]
218	.	['']	[]
219	.	['']	[]
220	.	['']	[]
221	.	['']	[]
222	.	['']	[]
223	.	['']	[]
224	.	['']	[]
225	.	['']	[]
226	.	['']	[]
227	.	['']	[]
228	.	['']	[]
229	.	['']	[]
230	.	['']	[]
231	.	['']	[]
232	.	['']	[]
233	.	['']	[]
234	.	['']	[]
235	.	['']	[]
236	.	['']	[]
237	.	['']	[]
238	.	['']	[]
239	.	['']	[]
240	.	['']	[]
241	.	['']	[]
242	.	['']	[]
243	.	['']	[]
244	.	['']	[]
245	.	['']	[]
246	.	['']	[]
247	.	['']	[]
248	.	['']	[]
249	.	['']	[]
250	.	['']	[]
251	.	['']	[]
252	.	['']	[]
253	.	['']	[]
254	.	['']	[]
255	.	['']	[]
256	.	['']	[]
257	.	['']	[]
258	.	['']	[]
259	.	['']	[]
260	.	['']	[]
261	.	['']	[]
262	.	['']	[]
263	.	['']	[]
264	.	['']	[]
265	.	['']	[]
266	.	['']	[]
267	.	['']	[]
268	.	['']	[]
269	.	['']	[]
270	.	['']	[]
271	.	['']	[]
272	.	['']	[]
273	.	['']	[]
274	.	['']	[]
275	.	['']	[]
276	.	['']	[]
277	.	['']	[]
278	.	['']	[]
279	.	['']	[]
280	.	['']	[]
281	.	['']	[]
282	.	['']	[]
283	.	['']	[]
284	.	['']	[]
285	.	['']	[]
286	.	['']	[]
287	.	['']	[]
288	.	['']	[]
289	.	['']	[]
290	.	['']	[]
291	.	['']	[]
292	.	['']	[]
293	.	['']	[]
294	.	['']	[]
295	.	['']	[]
296	.	['']	[]
297	.	['']	[]
298	.	['']	[]
299	.	['']	[]
300	.	['']	[]
301	.	['']	[]
302	.	['']	[]
303	.	['']	[]
304	.	['']	[]
305	.	['']	[]
306	.	['']	[]
307	.	['']	[]
308	.	['']	[]
309	.	['']	[]
310	.	['']	[]
311	.	['']	[]
312	.	['']	[]
313	.	['']	[]
314	.	['']	[]
315	.	['']	[]
316	.	['']	[]
317	.....	['']	[]
318	-	['']	[]
319	1	['']	[]
320	-	['']	[]
321	2.	['']	[]
322	Vaststellen	['']	[]
323	agenda	['']	[]
324	en	['']	[]
325	inventarisatie	['']	[]
326	agendapunten	['']	[]
327	.	['']	[]
328	.	['']	[]
329	.	['']	[]
330	.	['']	[]
331	.	['']	[]
332	.	['']	[]
333	.	['']	[]
334	.	['']	[]
335	.	['']	[]
336	.	['']	[]
337	.	['']	[]
338	.	['']	[]
339	.	['']	[]
340	.	['']	[]
341	.	['']	[]
342	.	['']	[]
343	.	['']	[]
344	.	['']	[]
345	.	['']	[]
346	.	['']	[]
347	.	['']	[]
348	.	['']	[]
349	.	['']	[]
350	.	['']	[]
351	.	['']	[]
352	.	['']	[]
353	.	['']	[]
354	.	['']	[]
355	.	['']	[]
356	.	['']	[]
357	.	['']	[]
358	.	['']	[]
359	.	['']	[]
360	.	['']	[]
361	.	['']	[]
362	.	['']	[]
363	.	['']	[]
364	.	['']	[]
365	.	['']	[]
366	.	['']	[]
367	.	['']	[]
368	.	['']	[]
369	.	['']	[]
370	.	['']	[]
371	.	['']	[]
372	.	['']	[]
373	.	['']	[]
374	.	['']	[]
375	.	['']	[]
376	.	['']	[]
377	.	['']	[]
378	.	['']	[]
379	.	['']	[]
380	.	['']	[]
381	.	['']	[]
382	.	['']	[]
383	.	['']	[]
384	.	['']	[]
385	.	['']	[]
386	.	['']	[]
387	.	['']	[]
388	.	['']	[]
389	.	['']	[]
390	.	['']	[]
391	.	['']	[]
392	.	['']	[]
393	.	['']	[]
394	.	['']	[]
395	.	['']	[]
396	.	['']	[]
397	.	['']	[]
398	.	['']	[]
399	.	['']	[]
400	.	['']	[]
401	.	['']	[]
402	.	['']	[]
403	.......	['']	[]
404	-	['']	[]
405	1	['']	[]
406	-	['']	[]
407	3.	['']	[]
408	Raadsvoorstel	['']	[]
409	tweede	['']	[]
410	begrotingswijziging	['']	[]
411	2021	['']	[]
412	.	['']	[]
413	.	['']	[]
414	.	['']	[]
415	.	['']	[]
416	.	['']	[]
417	.	['']	[]
418	.	['']	[]
419	.	['']	[]
420	.	['']	[]
421	.	['']	[]
422	.	['']	[]
423	.	['']	[]
424	.	['']	[]
425	.	['']	[]
426	.	['']	[]
427	.	['']	[]
428	.	['']	[]
429	.	['']	[]
430	.	['']	[]
431	.	['']	[]
432	.	['']	[]
433	.	['']	[]
434	.	['']	[]
435	.	['']	[]
436	.	['']	[]
437	.	['']	[]
438	.	['']	[]
439	.	['']	[]
440	.	['']	[]
441	.	['']	[]
442	.	['']	[]
443	.	['']	[]
444	.	['']	[]
445	.	['']	[]
446	.	['']	[]
447	.	['']	[]
448	.	['']	[]
449	.	['']	[]
450	.	['']	[]
451	.	['']	[]
452	.	['']	[]
453	.	['']	[]
454	.	['']	[]
455	.	['']	[]
456	.	['']	[]
457	.	['']	[]
458	.	['']	[]
459	.	['']	[]
460	.	['']	[]
461	.	['']	[]
462	.	['']	[]
463	.	['']	[]
464	.	['']	[]
465	.	['']	[]
466	.	['']	[]
467	.	['']	[]
468	.	['']	[]
469	.	['']	[]
470	.	['']	[]
471	.	['']	[]
472	.	['']	[]
473	.	['']	[]
474	.	['']	[]
475	.	['']	[]
476	.	['']	[]
477	.	['']	[]
478	.	['']	[]
479	.	['']	[]
480	.	['']	[]
481	.	['']	[]
482	.	['']	[]
483	.	['']	[]
484	.	['']	[]
485	.	['']	[]
486	.	['']	[]
487	.	['']	[]
488	.	['']	[]
489	.	['']	[]
490	.	['']	[]
491	.	['']	[]
492	.	['']	[]
493	.	['']	[]
494	.	['']	[]
495	.....	['']	[]
496	-	['']	[]
497	1	['']	[]
498	-	['']	[]
499	4.	['']	[]
500	Raadsvoorstel	['']	[]
501	deelname	['']	[]
502	experiment	['']	[]
503	centrale	['']	[]
504	stemopneming	['']	[]
505	.	['']	[]
506	.	['']	[]
507	.	['']	[]
508	.	['']	[]
509	.	['']	[]
510	.	['']	[]
511	.	['']	[]
512	.	['']	[]
513	.	['']	[]
514	.	['']	[]
515	.	['']	[]
516	.	['']	[]
517	.	['']	[]
518	.	['']	[]
519	.	['']	[]
520	.	['']	[]
521	.	['']	[]
522	.	['']	[]
523	.	['']	[]
524	.	['']	[]
525	.	['']	[]
526	.	['']	[]
527	.	['']	[]
528	.	['']	[]
529	.	['']	[]
530	.	['']	[]
531	.	['']	[]
532	.	['']	[]
533	.	['']	[]
534	.	['']	[]
535	.	['']	[]
536	.	['']	[]
537	.	['']	[]
538	.	['']	[]
539	.	['']	[]
540	.	['']	[]
541	.	['']	[]
542	.	['']	[]
543	.	['']	[]
544	.	['']	[]
545	.	['']	[]
546	.	['']	[]
547	.	['']	[]
548	.	['']	[]
549	.	['']	[]
550	.	['']	[]
551	.	['']	[]
552	.	['']	[]
553	.	['']	[]
554	.	['']	[]
555	.	['']	[]
556	.	['']	[]
557	.	['']	[]
558	.	['']	[]
559	.	['']	[]
560	.	['']	[]
561	.	['']	[]
562	.	['']	[]
563	.	['']	[]
564	.	['']	[]
565	.	['']	[]
566	.......	['']	[]
567	-	['']	[]
568	1	['']	[]
569	-	['']	[]
570	4.1 Beantwoording	['']	[]
571	schriftelijke	['']	[]
572	vragen	['']	[]
573	2021	['']	[]
574	nummer	['']	[]
575	169	['']	[]
576	,	['']	[]
577	evaluatie	['']	[]
578	verkiezingen	['']	[]
579	2021	['']	[]
580	.	['']	[]
581	.	['']	[]
582	.	['']	[]
583	.	['']	[]
584	.	['']	[]
585	.	['']	[]
586	.	['']	[]
587	.	['']	[]
588	.	['']	[]
589	.	['']	[]
590	.	['']	[]
591	.	['']	[]
592	.	['']	[]
593	.	['']	[]
594	.	['']	[]
595	.	['']	[]
596	.	['']	[]
597	.	['']	[]
598	.	['']	[]
599	.	['']	[]
600	.	['']	[]
601	.	['']	[]
602	.	['']	[]
603	.	['']	[]
604	.	['']	[]
605	.	['']	[]
606	.	['']	[]
607	......	['']	[]
608	-	['']	[]
609	2	['']	[]
610	-	['']	[]
611	20	['']	[]
612	Ochtendvergadering	['']	[]
613	30	['']	[]
614	september	['']	[]
615	2021	['']	[]
616	1	['']	[]
617	.	['']	[]
618	Opening	['']	[]
619	en	['']	[]
620	mededelingen	['']	[]
621	De	['B_PER_3']	['B_PER_16']
622	voorzitter	['I_PER_3']	['I_PER_16']
623	,	['']	[]
624	de	['B_PER_3']	['B_PER_16']
625	heer	['I_PER_3']	['B_PER_16']
626	De	['I_PER_3']	['I_PER_16']
627	Pagter	['I_PER_3']	['I_PER_16']
628	,	['']	[]
629	opent	['']	[]
630	de	['']	[]
631	vergadering	['']	[]
632	om	['']	[]
633	10.00	['']	[]
634	uur	['']	[]
635	en	['']	[]
636	heet	['']	[]
637	iedereen	['']	[]
638	welkom	['']	[]
639	.	['']	[]
640	Mededelingen	['']	[]
641	De	['B_PER_3']	['B_PER_16']
642	voorzitter	['I_PER_3']	['I_PER_16']
643	deelt	['']	[]
644	mee	['']	[]
645	voor	['']	[]
646	de	['']	[]
647	laatste	['']	[]
648	keer	['']	[]
649	de	['B_PER_3']	['B_PER_16']
650	voorzitter	['I_PER_3']	['I_PER_16']
651	te	['']	[]
652	zijn	['']	[]
653	van	['']	[]
654	deze	['']	[]
655	commis-	['']	[]
656	sie	['']	[]
657	aangezien	['']	[]
658	er	['']	[]
659	andere	['']	[]
660	commissies	['']	[]
661	op	['']	[]
662	komst	['']	[]
663	zijn	['']	[]
664	.	['']	[]
665	In	['']	[]
666	zijn	['']	['B_PER_16']
667	andere	['']	[]
668	rol	['']	[]
669	zal	['']	[]
670	hij	['B_PER_3']	['B_PER_16']
671	geen	['']	[]
672	commissievoorzitter	['B_PER_3']	[]
673	meer	['']	[]
674	zijn	['']	[]
675	in	['']	[]
676	de	['']	[]
677	komende	['']	[]
678	maanden	['']	[]
679	.	['']	[]
680	30	['']	[]
681	2	['']	[]
682	.	['']	[]
683	Vaststellen	['']	[]
684	agenda	['']	[]
685	en	['']	[]
686	inventarisatie	['']	[]
687	te	['']	[]
688	bespreken	['']	[]
689	agendapunten	['']	[]
690	Conform	['']	[]
691	vastgesteld	['']	[]
692	.	['']	[]
693	3.	['']	[]
694	Raadsvoorstel	['']	[]
695	tweede	['']	[]
696	begrotingswijziging	['']	[]
697	2021	['']	[]
698	Beleidsveld	['']	[]
699	:	['']	[]
700	Financiën	['']	[]
701	-	['']	[]
702	wethouder	['B_PER_18']	[]
703	Klein	['I_PER_18']	[]
704	Na	['']	['B_PER_1']
705	het	['']	[]
706	vaststellen	['']	[]
707	van	['']	[]
708	de	['']	[]
709	Programmabegroting	['']	[]
710	kent	['']	[]
711	het	['']	[]
712	jaar	['']	[]
713	drie	['']	[]
714	rondes	['']	[]
715	van	['']	[]
716	technische	['']	[]
717	aanpassingen	['']	[]
718	.	['']	[]
719	Dit	['']	[]
720	betreft	['']	[]
721	de	['']	[]
722	tweede	['']	[]
723	technische	['']	[]
724	wijzing	['']	[]
725	van	['']	[]
726	de	['']	[]
727	Programmabegroting	['']	[]
728	2021	['']	[]
729	.	['']	[]
730	De	['B_PER_3']	['B_PER_16']
731	voorzitter	['I_PER_3']	['I_PER_16']
732	voert	['']	[]
733	met	['']	[]
734	instemming	['']	[]
735	van	['']	[]
736	de	['']	[]
737	commissie	['']	[]
738	dit	['']	[]
739	agendapunt	['']	[]
740	van	['']	[]
741	de	['']	[]
742	40	['']	[]
743	agenda	['']	[]
744	af	['']	[]
745	.	['']	[]
746	Dit	['']	[]
747	punt	['']	[]
748	gaat	['']	[]
749	zonder	['']	[]
750	discussie	['']	[]
751	door	['']	[]
752	met	['']	[]
753	de	['']	[]
754	A-status	['']	[]
755	naar	['']	[]
756	de	['']	[]
757	raad	['']	[]
758	.	['']	[]
759	4.	['']	[]
760	Raadsvoorstel	['']	[]
761	deelname	['']	[]
762	experiment	['']	[]
763	centrale	['']	[]
764	stemopneming	['']	[]
765	Portefeuillehouders	['']	[]
766	:	['']	[]
767	burgemeester	['B_PER_6']	[]
768	Dijksma	['I_PER_6']	[]
769	Griffie	['']	['B_PER_17']
770	Gemeenteraad	['']	[]
771	Utrecht	['']	[]
772	Verslag	['']	[]
773	van	['']	[]
774	de	['']	[]
775	openbare	['']	[]
776	fysieke	['']	[]
777	vergadering	['']	[]
778	van	['']	[]
779	de	['']	[]
780	Commissie	['']	[]
781	Mens	['']	[]
782	&	['']	[]
783	Samenleving	['']	[]
784	op	['']	[]
785	30	['']	[]
786	september	['']	[]
787	2021	['']	[]
788	Pagina	['']	[]
789	2	['']	[]
790	van	['']	[]
791	12	['']	[]
792	4.1	['']	[]
793	Beantwoording	['']	[]
794	schriftelijke	['']	[]
795	vragen	['']	[]
796	2021	['']	[]
797	nummer	['']	[]
798	169	['']	[]
799	,	['']	[]
800	evaluatie	['']	[]
801	verkiezingen	['']	[]
802	2021	['']	[]
803	De	['B_PER_3']	['B_PER_16']
804	voorzitter	['I_PER_3']	['I_PER_16']
805	licht	['']	[]
806	de	['']	[]
807	agendering	['']	[]
808	toe	['']	[]
809	.	['']	[]
810	Het	['']	[]
811	college	['']	[]
812	heeft	['']	[]
813	een	['']	[]
814	raadsvoorstel	['']	[]
815	naar	['']	[]
816	de	['']	[]
817	raad	['']	[]
818	gestuurd	['']	[]
819	waarin	['']	[]
820	wordt	['']	[]
821	voorgesteld	['']	[]
822	dat	['']	[]
823	Utrecht	['']	[]
824	meedoet	['']	[]
825	aan	['']	[]
826	het	['']	[]
827	experiment	['']	[]
828	Centrale	['']	[]
829	Stemopneming	['']	[]
830	van	['']	[]
831	het	['']	[]
832	ministerie	['']	[]
833	van	['']	[]
834	Binnenlandse	['']	[]
835	Zaken	['']	[]
836	en	['']	[]
837	Koninkrijks-	['']	[]
838	50	['']	[]
839	relaties	['']	[]
840	.	['']	[]
841	Daarnaast	['']	[]
842	zijn	['']	[]
843	schriftelijke	['']	[]
844	vragen	['']	[]
845	gesteld	['']	[]
846	over	['']	[]
847	de	['']	[]
848	evaluatie	['']	[]
849	van	['']	[]
850	de	['']	[]
851	verkiezingen	['']	[]
852	in	['']	[]
853	2021	['']	[]
854	de	['']	[]
855	Tweede	['']	[]
856	Kamerverkiezingen	['']	[]
857	.	['']	[]
858	De	['']	[]
859	beantwoording	['']	[]
860	van	['']	[]
861	het	['']	[]
862	college	['']	[]
863	betrekt	['']	[]
864	hij	['B_PER_3']	['B_PER_18']
865	bij	['']	[]
866	dit	['']	[]
867	agendapunt	['']	[]
868	.	['']	[]
869	De	['']	[]
870	commissie	['']	[]
871	De	['B_PER_15']	[]
872	heer	['I_PER_15']	[]
873	Bosch	['I_PER_15']	[]
874	(	['']	[]
875	PVV	['']	[]
876	)	['']	[]
877	gaat	['']	[]
878	in	['']	[]
879	op	['']	[]
880	het	['']	[]
881	vervoer	['']	[]
882	van	['']	[]
883	de	['']	[]
884	stembiljetten	['']	[]
885	,	['']	[]
886	op	['']	[]
887	het	['']	[]
888	opleidingsniveau	['']	[]
889	van	['']	[]
890	de	['']	['B_PER_19']
891	vrijwilligers	['']	['I_PER_19']
892	op	['']	['I_PER_19']
893	de	['']	['I_PER_19']
894	CSO	['']	['I_PER_19']
895	en	['']	[]
896	het	['']	[]
897	naleven	['']	[]
898	van	['']	[]
899	de	['']	[]
900	Kieswet	['']	[]
901	als	['']	[]
902	het	['']	[]
903	gaat	['']	[]
904	om	['']	[]
905	de	['']	[]
906	inwoners	['']	[]
907	die	['']	[]
908	de	['']	[]
909	tellingen	['']	[]
910	willen	['']	[]
911	observeren	['']	[]
912	.	['']	[]
913	In	['']	[]
914	het	['']	[]
915	voorstel	['']	[]
916	wordt	['']	[]
917	gerept	['']	[]
918	over	['']	[]
919	de	['']	[]
920	belasting	['']	[]
921	voor	['']	[]
922	de	['']	[]
923	stembureauleden	['']	[]
924	.	['']	[]
925	Sommige	['']	[]
926	60	['']	[]
927	stembureau-leden	['']	[]
928	hebben	['']	[]
929	uren	['']	[]
930	moeten	['']	[]
931	wachten	['']	[]
932	op	['']	[]
933	het	['']	[]
934	vervoer	['']	[]
935	van	['']	[]
936	de	['']	[]
937	stembiljetten	['']	[]
938	naar	['']	[]
939	de	['']	[]
940	CSO	['']	[]
941	toe	['']	[]
942	.	['']	[]
943	In	['']	[]
944	het	['']	[]
945	antwoord	['']	[]
946	op	['']	[]
947	schriftelijke	['']	[]
948	vragen	['']	[]
949	geeft	['']	[]
950	de	['B_PER_6']	['B_PER_20']
951	burgemeester	['I_PER_6']	['I_PER_20']
952	aan	['']	[]
953	te	['']	[]
954	bekijken	['']	[]
955	hoe	['']	[]
956	dit	['']	[]
957	beter	['']	[]
958	te	['']	[]
959	organiseren	['']	[]
960	is	['']	[]
961	.	['']	[]
962	Hij	['B_PER_15']	['B_PER_20']
963	ziet	['']	[]
964	daarvan	['']	[]
965	niets	['']	[]
966	terug	['']	[]
967	in	['']	[]
968	het	['']	[]
969	raads-	['']	[]
970	voorstel	['']	[]
971	.	['']	[]
972	Hij	['B_PER_15']	['B_PER_20']
973	krijgt	['']	[]
974	graag	['']	[]
975	de	['']	[]
976	toezegging	['']	[]
977	dat	['']	[]
978	het	['']	[]
979	stembureau	['']	[]
980	niet	['']	[]
981	opnieuw	['']	[]
982	weer	['']	[]
983	uren	['']	[]
984	moet	['']	[]
985	wachten	['']	[]
986	bij	['']	[]
987	de	['']	[]
988	komende	['']	[]
989	gemeenteraadsverkiezingen	['']	[]
990	.	['']	[]
991	Met	['']	[]
992	betrekking	['']	[]
993	tot	['']	[]
994	de	['']	[]
995	inzet	['']	[]
996	van	['']	[]
997	de	['']	[]
998	tellers	['']	[]
999	bij	['']	[]
1000	de	['']	[]
1001	CSO	['']	[]
1002	wordt	['']	[]
1003	een	['']	[]
1004	training	['']	[]
1005	niet	['']	[]
1006	nodig	['']	[]
1007	geacht	['']	[]
1008	een	['']	[]
1009	korte	['']	[]
1010	instructie	['']	[]
1011	zou	['']	[]
1012	voldoende	['']	[]
1013	zijn	['']	[]
1014	.	['']	[]
1015	Dat	['']	[]
1016	lijkt	['']	[]
1017	hem	['B_PER_15']	['B_PER_20']
1018	persoonlijk	['']	[]
1019	niet	['']	[]
1020	de	['']	[]
1021	bedoeling	['']	[]
1022	te	['']	[]
1023	zijn	['']	[]
1024	.	['']	[]
1025	Hoe	['']	[]
1026	kan	['']	[]
1027	iemand	['']	[]
1028	de	['']	[]
1029	Kieswet	['']	[]
1030	hanteren	['']	[]
1031	wanneer	['']	[]
1032	daarvan	['']	[]
1033	geen	['']	[]
1034	kennis	['']	[]
1035	is	['']	[]
1036	genomen	['']	[]
1037	?	['']	[]
1038	Om	['']	[]
1039	te	['']	[]
1040	beslissen	['']	[]
1041	over	['']	[]
1042	de	['']	[]
1043	geldigheid	['']	[]
1044	van	['']	[]
1045	een	['']	[]
1046	stembiljet	['']	[]
1047	,	['']	[]
1048	is	['']	[]
1049	er	['']	[]
1050	een	['']	[]
1051	uitgebreide	['']	[]
1052	circulaire	['']	[]
1053	van	['']	[]
1054	de	['']	[]
1055	kiesraad	['']	[]
1056	.	['']	[]
1057	Hij	['B_PER_15']	['B_PER_21']
1058	krijgt	['']	[]
1059	graag	['']	[]
1060	herziening	['']	[]
1061	van	['']	[]
1062	dit	['']	[]
1063	standpunt	['']	[]
1064	.	['']	[]
1065	70	['']	[]
1066	Het	['']	[]
1067	lijkt	['']	[]
1068	hem	['B_PER_15']	['B_PER_21']
1069	ook	['']	[]
1070	dat	['']	[]
1071	tellers	['']	['B_PER_22']
1072	de	['']	[]
1073	Kieswet	['']	[]
1074	moeten	['']	[]
1075	kennen	['']	[]
1076	om	['']	[]
1077	te	['']	[]
1078	kunnen	['']	[]
1079	tellen	['']	[]
1080	.	['']	[]
1081	Bovendien	['']	[]
1082	kunnen	['']	[]
1083	zij	['']	['B_PER_22']
1084	te	['']	[]
1085	maken	['']	[]
1086	krijgen	['']	[]
1087	met	['']	[]
1088	inwoners	['']	[]
1089	die	['']	[]
1090	het	['']	[]
1091	stemproces	['']	[]
1092	volgen	['']	[]
1093	en	['']	[]
1094	gadeslaan	['']	[]
1095	.	['']	[]
1096	Dat	['']	[]
1097	lijkt	['']	[]
1098	zijns	['']	[]
1099	inziens	['']	[]
1100	niet	['']	[]
1101	helemaal	['']	[]
1102	volgens	['']	[]
1103	de	['']	[]
1104	kieswet	['']	[]
1105	te	['']	[]
1106	gaan	['']	[]
1107	.	['']	[]
1108	De	['B_PER_6']	['B_PER_20']
1109	burgemeester	['I_PER_6']	['I_PER_20']
1110	schrijft	['']	[]
1111	dat	['']	[]
1112	de	['']	[]
1113	telling	['']	[]
1114	op	['']	[]
1115	kandidaatniveau	['']	[]
1116	de	['']	[]
1117	definitieve	['']	[]
1118	telling	['']	[]
1119	is	['']	[]
1120	,	['']	[]
1121	dus	['']	[]
1122	in	['']	[]
1123	de	['']	[]
1124	CSO	['']	[]
1125	.	['']	[]
1126	Dat	['']	[]
1127	vergt	['']	[]
1128	dan	['']	[]
1129	naleving	['']	[]
1130	van	['']	[]
1131	artikel	['']	[]
1132	N1	['']	[]
1133	lid	['']	[]
1134	2	['']	[]
1135	.	['']	[]
1136	De	['']	[]
1137	vorige	['']	[]
1138	keer	['']	[]
1139	was	['']	[]
1140	niet	['']	[]
1141	duidelijk	['']	[]
1142	welk	['']	[]
1143	stembureau	['']	[]
1144	gesteld	['']	[]
1145	welk	['']	[]
1146	stembureau	['']	[]
1147	geteld	['']	[]
