	token	gold	model
319	Tijdens	['']	[]
320	de	['']	[]
321	middagschorsing	['']	[]
322	,	['']	[]
323	rond	['']	[]
324	13.00	['']	[]
325	uur	['']	[]
326	,	['']	[]
327	zal	['']	[]
328	de	['']	[]
329	presentatie	['']	[]
330	van	['']	[]
331	de	['']	[]
332	Programmabegroting	['']	[]
333	2023	['']	[]
334	plaatsvinden	['']	[]
335	in	['']	[]
336	de	['']	[]
337	hal	['']	[]
338	van	['']	[]
339	het	['']	[]
340	stadhuis	['']	[]
341	.	['']	[]
342	Iedereen	['']	[]
343	is	['']	[]
344	daar	['']	[]
345	uiteraard	['']	[]
346	van	['']	[]
347	harte	['']	[]
348	bij	['']	[]
349	uitgenodigd	['']	[]
350	.	['']	[]
351	Bericht	['']	[]
352	van	['']	[]
353	verhindering	['']	[]
354	is	['']	[]
355	ingekomen	['']	[]
356	van	['']	[]
357	de	['']	[]
358	leden	['']	[]
359	Talhoui	['B_PER_47']	['B_PER_62']
360	,	['']	[]
361	Van	['B_PER_46']	['B_PER_63']
362	der	['I_PER_46']	['I_PER_47']
363	Graaf	['I_PER_46']	['I_PER_63']
364	en	['']	[]
365	Bos	['B_PER_45']	['B_PER_60']
366	.	['']	[]
367	Namens	['']	[]
368	de	['']	[]
369	raad	['']	[]
370	wil	['']	[]
371	zij	['B_PER_1']	[]
372	de	['B_PER_45']	['B_PER_60']
373	heer	['I_PER_45']	['B_PER_60']
374	Bos	['I_PER_45']	['I_PER_60']
375	heel	['']	[]
376	veel	['']	[]
377	sterkte	['']	[]
378	wensen	['']	[]
379	met	['']	[]
380	het	['']	[]
381	verlies	['']	[]
382	van	['']	[]
383	zijn	['B_PER_45']	[]
384	vader	['']	[]
385	,	['']	[]
386	tevens	['']	[]
387	fractiemedewerker	['']	[]
388	van	['']	[]
389	Stadsbelang	['']	[]
390	Utrecht	['']	[]
391	,	['']	[]
392	Hein	['B_PER_45']	['B_PER_64']
393	Bos.	['I_PER_45']	['I_PER_64']
394	2.	['']	[]
395	Vaststelling	['']	[]
396	agenda	['']	[]
397	.	['']	[]
398	De	['']	[]
399	agenda	['']	[]
400	wordt	['']	[]
401	zonder	['']	[]
402	stemming	['']	[]
403	ongewijzigd	['']	[]
404	vastgesteld	['']	[]
405	.	['']	[]
406	3.	['']	[]
407	Ingekomen	['']	[]
408	stukken	['']	[]
409	.	['']	[]
410	Raadsvergadering	['']	[]
411	van	['']	[]
412	15	['']	[]
413	september	['']	[]
414	2022	['']	[]
415	2	['']	[]
416	Met	['']	[]
417	betrekking	['']	[]
418	tot	['']	[]
419	de	['']	[]
420	ingekomen	['']	[]
421	stukken	['']	[]
422	wordt	['']	[]
423	zonder	['']	[]
424	stemming	['']	[]
425	besloten	['']	[]
426	overeenkomstig	['']	[]
427	hetgeen	['']	[]
428	daaromtrent	['']	[]
429	is	['']	[]
430	voorgesteld	['']	[]
431	.	['']	[]
432	De	['B_PER_1']	[]
433	voorzitter	['I_PER_1']	[]
434	merkt	['']	[]
435	op	['']	[]
436	dat	['']	[]
437	men	['']	[]
438	onder	['']	[]
439	de	['']	[]
440	ingekomen	['']	[]
441	stukken	['']	[]
442	een	['']	[]
443	brief	['']	[]
444	aantreft	['']	[]
445	van	['']	[]
446	Carolien	['B_PER_56']	['B_PER_65']
447	de	['I_PER_56']	['I_PER_47']
448	Boer	['I_PER_56']	['I_PER_65']
449	,	['']	[]
450	waarin	['']	[]
451	zij	['B_PER_56']	[]
452	haar	['B_PER_56']	[]
453	afscheid	['']	[]
454	als	['']	[]
455	lid	['']	[]
456	van	['']	['B_PER_47']
457	onze	['']	['I_PER_47']
458	Rekenkamer	['']	[]
459	aankondigt	['']	[]
460	.	['']	[]
461	Carolien	['B_PER_56']	['B_PER_66']
462	kan	['']	[]
463	vandaag	['']	[]
464	niet	['']	[]
465	aanwezig	['']	[]
466	zijn	['']	[]
467	,	['']	[]
468	maar	['']	[]
469	volgt	['']	[]
470	de	['']	[]
471	raadsvergadering	['']	[]
472	vanuit	['']	[]
473	huis	['']	[]
474	.	['']	[]
475	Dat	['']	[]
476	is	['']	[]
477	helaas	['']	[]
478	niet	['']	[]
479	zonder	['']	[]
480	reden	['']	[]
481	,	['']	[]
482	want	['']	[]
483	zij	['B_PER_56']	['B_PER_47']
484	heeft	['']	[]
485	onlangs	['']	[]
486	aangekondigd	['']	[]
487	dat	['']	[]
488	zij	['B_PER_56']	['B_PER_47']
489	vanwege	['']	[]
490	gezondheidsredenen	['']	[]
491	stopt	['']	[]
492	met	['']	[]
493	haar	['B_PER_56']	[]
494	werk	['']	[]
495	als	['']	[]
496	lid	['']	[]
497	van	['']	['B_PER_47']
498	de	['']	['I_PER_47']
499	Rekenkamer	['']	[]
500	.	['']	[]
501	In	['']	[]
502	de	['']	[]
503	brief	['']	[]
504	waarin	['']	[]
505	zij	['B_PER_56']	[]
506	haar	['B_PER_56']	[]
507	vertrek	['']	[]
508	aankondigt	['']	[]
509	,	['']	[]
510	schrijft	['']	[]
511	zij	['B_PER_56']	['B_PER_47']
512	dat	['']	[]
513	ze	['B_PER_56']	['B_PER_47']
514	sinds	['']	[]
515	haar	['B_PER_56']	[]
516	komst	['']	[]
517	in	['']	[]
518	2018	['']	[]
519	altijd	['']	[]
520	met	['']	[]
521	veel	['']	[]
522	plezier	['']	[]
523	bestuurslid	['']	[]
524	van	['']	[]
525	onze	['']	[]
526	Rekenkamer	['']	[]
527	was	['']	[]
528	.	['']	[]
529	Haar	['B_PER_56']	[]
530	hoogtepunten	['']	[]
531	waren	['']	[]
532	de	['']	[]
533	bijdragen	['']	[]
534	aan	['']	[]
535	de	['']	[]
536	onderzoeken	['']	[]
537	rond	['']	[]
538	de	['']	[]
539	Participatiewet	['']	[]
540	,	['']	[]
541	de	['']	[]
542	laaggeletterdheid	['']	[]
543	en	['']	[]
544	de	['']	[]
545	energietransitie	['']	[]
546	.	['']	[]
547	Zij	['B_PER_56']	['B_PER_47']
548	kijkt	['']	[]
549	vooral	['']	[]
550	met	['']	[]
551	veel	['']	[]
552	voldoening	['']	[]
553	terug	['']	[]
554	op	['']	[]
555	de	['']	[]
556	goede	['']	[]
557	samenwerking	['']	[]
558	tussen	['']	[]
559	bestuur	['']	[]
560	en	['']	[]
561	staf	['']	[]
562	van	['']	[]
563	de	['']	[]
564	Rekenkamer	['']	[]
565	en	['']	[]
566	natuurlijk	['']	[]
567	met	['']	[]
568	de	['']	[]
569	gemeenteraad	['']	[]
570	.	['']	[]
571	Zij	['B_PER_56']	['B_PER_47']
572	had	['']	[]
573	altijd	['']	[]
574	een	['']	[]
575	scherp	['']	[]
576	oog	['']	[]
577	voor	['']	[]
578	het	['']	[]
579	ingewikkelde	['']	[]
580	krachtenveld	['']	[]
581	waarin	['']	[]
582	overheidsorganisaties	['']	[]
583	moeten	['']	[]
584	werken	['']	[]
585	.	['']	[]
586	Bij	['']	[]
587	haar	['B_PER_56']	[]
588	komst	['']	[]
589	,	['']	[]
590	vijf	['']	[]
591	jaar	['']	[]
592	geleden	['']	[]
593	,	['']	[]
594	leerde	['']	[]
595	de	['']	[]
596	raad	['']	[]
597	haar	['B_PER_56']	['B_PER_47']
598	kennen	['']	[]
599	als	['']	[]
600	een	['']	['B_PER_47']
601	groot	['']	['I_PER_47']
602	voorstander	['']	['I_PER_47']
603	van	['']	['I_PER_47']
604	andere	['']	['I_PER_47']
605	en	['']	[]
606	nieuwe	['']	[]
607	onderzoeksmethoden	['']	['B_PER_47']
608	,	['']	[]
609	anders	['']	[]
610	dan	['']	[]
611	die	['']	[]
612	de	['']	[]
613	Rekenkamer	['']	[]
614	altijd	['']	[]
615	gewend	['']	[]
616	was	['']	[]
617	.	['']	[]
618	Zij	['B_PER_56']	[]
619	wilde	['']	[]
620	niet	['']	[]
621	alleen	['']	[]
622	ambtenaren	['']	[]
623	en	['']	[]
624	betrokken	['']	[]
625	organisaties	['']	[]
626	interviewen	['']	[]
627	,	['']	[]
628	maar	['']	[]
629	maakte	['']	[]
630	zich	['']	[]
631	ook	['']	[]
632	hard	['']	[]
633	voor	['']	[]
634	het	['']	[]
635	houden	['']	[]
636	van	['']	[]
637	peilingen	['']	[]
638	onder	['']	[]
639	de	['']	[]
640	Utrechters	['']	[]
641	en	['']	[]
642	het	['']	[]
643	uitvoeren	['']	[]
644	van	['']	[]
645	casestudy	['']	[]
646	s	['']	[]
647	.	['']	[]
648	De	['']	[]
649	resultaten	['']	[]
650	daarvan	['']	[]
651	moeten	['']	[]
652	op	['']	[]
653	een	['']	[]
654	aansprekende	['']	[]
655	,	['']	[]
656	begrijpelijke	['']	[]
657	en	['']	[]
658	niet	['']	[]
659	te	['']	[]
660	uitgebreide	['']	[]
661	manier	['']	[]
662	worden	['']	[]
663	gepresenteerd	['']	[]
664	.	['']	[]
665	Zij	['B_PER_56']	[]
666	liet	['']	[]
667	liever	['']	[]
668	beelden	['']	[]
669	en	['']	[]
670	infographics	['']	[]
671	zien	['']	[]
672	.	['']	[]
673	Ze	['B_PER_56']	[]
674	stelt	['']	[]
675	vast	['']	[]
676	dat	['']	[]
677	Carolien	['B_PER_56']	['B_PER_67']
678	het	['']	[]
679	bewijs	['']	[]
680	is	['']	[]
681	dat	['']	[]
682	het	['']	[]
683	belangrijke	['']	[]
684	werk	['']	[]
685	van	['']	[]
686	de	['']	[]
687	Rekenkamer	['']	[]
688	voortdurend	['']	[]
689	in	['']	[]
690	ontwikkeling	['']	[]
691	is	['']	[]
692	.	['']	[]
693	Zij	['B_PER_56']	['B_PER_67']
694	hoopt	['']	[]
695	dat	['']	[]
696	dat	['']	[]
697	zo	['']	[]
698	blijft	['']	[]
699	,	['']	[]
700	maar	['']	[]
701	daar	['']	[]
702	heeft	['']	[]
703	zij	['B_PER_56']	['B_PER_67']
704	alle	['']	[]
705	vertrouwen	['']	[]
706	in	['']	[]
707	.	['']	[]
708	Helaas	['']	[]
709	zal	['']	[]
710	dat	['']	[]
711	gebeuren	['']	[]
712	zonder	['']	[]
713	de	['']	[]
714	inzet	['']	[]
715	en	['']	[]
716	de	['']	[]
717	kennis	['']	[]
718	van	['']	[]
719	Carolien	['B_PER_56']	['B_PER_67']
720	,	['']	[]
721	en	['']	[]
722	haar	['B_PER_56']	[]
723	wil	['']	[]
724	om	['']	[]
725	altijd	['']	[]
726	weer	['']	[]
727	te	['']	[]
728	vernieuwen	['']	[]
729	.	['']	[]
730	Namens	['']	[]
731	alle	['']	[]
732	leden	['']	[]
733	van	['']	[]
734	de	['']	[]
735	raad	['']	[]
736	en	['']	[]
737	de	['']	[]
738	medewerkers	['']	[]
739	dankt	['']	[]
740	zij	['']	['B_PER_67']
741	Carolien	['B_PER_56']	['I_PER_67']
742	voor	['']	[]
743	haar	['B_PER_56']	[]
744	waardevolle	['']	[]
745	inzet	['']	[]
746	voor	['']	[]
747	de	['']	[]
748	stad	['']	[]
749	.	['']	[]
750	Zij	['']	['B_PER_67']
751	wenst	['']	[]
752	Carolien	['B_PER_56']	['B_PER_67']
753	het	['']	[]
754	allerbeste	['']	[]
755	toe	['']	[]
756	.	['']	[]
757	(	['']	[]
758	Applaus	['']	[]
759	.	['']	[]
760	)	['']	[]
761	(	['']	[]
762	De	['B_PER_1']	[]
763	voorzitter	['I_PER_1']	[]
764	toont	['']	[]
765	daarop	['']	[]
766	het	['']	[]
767	schilderij	['']	[]
768	dat	['']	[]
769	Carolien	['B_PER_56']	['B_PER_68']
770	als	['']	[]
771	dank	['']	[]
772	ontvangt	['']	[]
773	.	['']	[]
774	)	['']	[]
775	De	['B_PER_54']	[]
776	heer	['I_PER_54']	['B_PER_69']
777	Venhoeven	['I_PER_54']	['I_PER_69']
778	(	['']	[]
779	voorzitter	['B_PER_54']	[]
780	Rekenkamer	['I_PER_54']	[]
781	)	['']	[]
782	merkt	['']	[]
783	op	['']	[]
784	dat	['']	[]
785	hij	['B_PER_54']	[]
786	en	['']	[]
787	de	['']	[]
788	overige	['']	[]
789	leden	['']	[]
790	van	['']	[]
791	de	['']	[]
792	Rekenkamer	['']	[]
793	nu	['']	[]
794	niet	['']	[]
795	in	['']	[]
796	niet	['']	[]
797	in	['']	[]
798	de	['']	[]
799	gelegenheid	['']	[]
800	zijn	['']	[]
801	om	['']	[]
802	Carolien	['B_PER_56']	['B_PER_70']
803	persoonlijk	['']	[]
804	toe	['']	[]
805	te	['']	[]
806	spreken	['']	[]
807	.	['']	[]
808	Voor	['']	[]
809	nu	['']	[]
810	wil	['']	[]
811	hij	['B_PER_54']	[]
812	haar	['B_PER_56']	[]
813	alvast	['']	[]
814	danken	['']	[]
815	voor	['']	[]
816	haar	['']	[]
817	waardevolle	['']	[]
818	bijdragen	['']	[]
819	aan	['']	[]
820	de	['']	[]
821	Rekenkamer	['']	[]
822	en	['']	[]
823	voor	['']	[]
824	de	['']	[]
825	prettige	['']	[]
826	collegialiteit	['']	[]
827	.	['']	[]
828	De	['']	[]
829	leden	['']	[]
830	van	['']	[]
831	de	['']	[]
832	Rekenkamer	['']	[]
833	zullen	['']	[]
834	haar	['B_PER_56']	[]
835	missen	['']	[]
836	,	['']	[]
837	maar	['']	[]
838	zullen	['']	[]
839	met	['']	[]
840	een	['']	[]
841	glimlach	['']	[]
842	en	['']	[]
843	vol	['']	[]
844	waardering	['']	[]
845	aan	['']	[]
846	haar	['B_PER_56']	[]
847	terugdenken	['']	[]
848	.	['']	[]
849	Wanneer	['']	[]
850	Carolien	['B_PR_56']	['B_PER_67']
851	daaraan	['']	[]
852	toe	['']	[]
853	is	['']	[]
854	,	['']	[]
855	neemt	['']	[]
856	de	['']	[]
857	Rekenkamer	['']	[]
858	nog	['']	[]
859	graag	['']	[]
860	persoonlijk	['']	[]
861	afscheid	['']	[]
862	van	['']	[]
863	haar	['B_PER_56']	[]
864	.	['']	[]
865	Hij	['B_PER_54']	['B_PER_67']
866	wenst	['']	[]
867	haar	['B_PER_56']	[]
868	alle	['']	[]
869	goeds	['']	[]
870	,	['']	[]
871	ook	['']	[]
872	namens	['']	[]
873	Sjoerd	['B_PER_57']	['B_PER_71']
874	,	['']	[]
875	Gerth	['B_PER_58']	['B_PER_72']
876	,	['']	[]
877	Gert	['B_PER_59']	['B_PER_73']
878	Jan	['I_PER_59']	['I_PER_73']
879	en	['']	[]
880	alle	['']	[]
881	nu	['']	[]
882	niet	['']	[]
883	aanwezige	['']	[]
884	collega's	['']	[]
885	van	['']	[]
886	de	['']	[]
887	Rekenkamer	['']	[]
888	.	['']	[]
889	De	['B_PER_1']	[]
890	voorzitter	['I_PER_1']	[]
891	merkt	['']	[]
892	op	['']	[]
893	dat	['']	[]
894	de	['']	[]
895	procedure	['']	[]
896	voor	['']	[]
897	de	['']	[]
898	opvolging	['']	[]
899	van	['']	[]
900	Carolien	['B_PER_56']	['B_PER_67']
901	nu	['']	[]
902	in	['']	[]
903	gang	['']	[]
904	wordt	['']	[]
905	gezet	['']	[]
906	.	['']	[]
907	Zij	['B_PER_1']	[]
908	hoopt	['']	[]
909	dat	['']	[]
910	er	['']	[]
911	over	['']	[]
912	enige	['']	[]
913	weken	['']	[]
914	een	['']	[]
915	opvolger	['']	[]
916	benoemd	['']	[]
917	kan	['']	[]
918	worden	['']	[]
919	.	['']	[]
920	4.	['']	[]
921	Geheimhouding	['']	[]
922	.	['']	[]
923	De	['B_PER_1']	[]
924	voorzitter	['I_PER_1']	[]
925	stelt	['']	[]
926	voor	['']	[]
927	om	['']	[]
928	,	['']	[]
929	conform	['']	[]
930	artikel	['']	[]
931	25	['']	[]
932	,	['']	[]
933	lid	['']	[]
934	3	['']	[]
935	van	['']	[]
936	de	['']	[]
937	Gemeentewet	['']	[]
938	,	['']	[]
939	de	['']	[]
940	door	['']	[]
941	het	['']	[]
942	college	['']	[]
943	opgelegde	['']	[]
944	geheimhouding	['']	[]
945	van	['']	[]
946	de	['']	[]
947	documenten	['']	[]
948	zoals	['']	[]
949	vermeld	['']	[]
950	in	['']	[]
951	de	['']	[]
952	bij	['']	[]
953	de	['']	[]
954	agenda	['']	[]
955	gevoegde	['']	[]
956	bijlage	['']	[]
957	,	['']	[]
958	inclusief	['']	[]
959	de	['']	[]
960	aanpassing	['']	[]
961	,	['']	[]
962	te	['']	[]
963	bekrachtigen	['']	[]
964	.	['']	[]
965	Zij	['B_PER_1']	[]
966	heeft	['']	[]
967	begrepen	['']	[]
968	dat	['']	[]
969	de	['B_PER_37']	[]
970	heer	['I_PER_37']	['B_PER_74']
971	Sungur	['I_PER_37']	['I_PER_74']
972	een	['']	[]
973	opmerking	['']	[]
974	heeft	['']	[]
975	met	['']	[]
976	betrekking	['']	[]
977	tot	['']	[]
978	het	['']	[]
979	proces	['']	[]
980	bij	['']	[]
981	een	['']	[]
982	van	['']	[]
983	Raadsvergadering	['']	[]
984	van	['']	[]
985	15	['']	[]
986	september	['']	[]
987	2022	['']	[]
988	3	['']	[]
989	de	['']	[]
990	geheime	['']	[]
991	stukken	['']	[]
992	.	['']	[]
993	Als	['']	[]
994	het	['']	[]
995	bij	['']	[]
996	opmerkingen	['']	[]
997	over	['']	[]
998	het	['']	[]
999	proces	['']	[]
1000	blijft	['']	[]
1001	,	['']	[]
1002	kunnen	['']	[]
1003	die	['']	[]
1004	in	['']	[]
1005	openbaarheid	['']	[]
1006	gemaakt	['']	[]
1007	worden	['']	[]
1008	.	['']	[]
1009	Zij	['B_PER_1']	[]
1010	stelt	['']	[]
1011	vast	['']	[]
1012	dat	['']	[]
1013	dit	['']	[]
1014	het	['']	[]
1015	geval	['']	[]
1016	is	['']	[]
1017	.	['']	[]
1018	De	['B_PER_37']	[]
1019	heer	['I_PER_37']	['B_PER_75']
1020	Sungur	['I_PER_37']	['I_PER_75']
1021	(	['']	[]
1022	DENK	['']	[]
1023	)	['']	[]
1024	wil	['']	[]
1025	dat	['']	[]
1026	de	['']	[]
1027	geheimhouding	['']	[]
1028	ten	['']	[]
1029	aanzien	['']	[]
1030	van	['']	[]
1031	het	['']	[]
1032	conceptrapport	['']	[]
1033	Constitutioneel	['']	[]
1034	racisme	['']	[]
1035	niet	['']	[]
1036	wordt	['']	[]
1037	bekrachtigd	['']	[]
1038	.	['']	[]
1039	De	['']	[]
1040	afspraak	['']	[]
1041	in	['']	[]
