	token	gold	model
420	te	['']	[]
421	bewerkstelligen	['']	[]
422	dat	['']	[]
423	de	['']	[]
424	schade	['']	[]
425	waarvoor	['']	[]
426	vergoeding	['']	[]
427	wordt	['']	[]
428	toegekend	['']	[]
429	,	['']	[]
430	duurzaam	['']	[]
431	kan	['']	[]
432	worden	['']	[]
433	hersteld	['']	[]
434	.	['']	[]
435	Aan	['']	[]
436	de	['']	[]
437	toekenning	['']	[]
438	van	['']	[]
439	deze	['']	[]
440	tegemoetkoming	['']	[]
441	kan	['']	[]
442	het	['']	[]
443	IMG	['']	[]
444	voorwaarden	['']	[]
445	verbinden	['']	[]
446	.	['']	[]
447	Toelichting	['']	[]
448	op	['']	[]
449	de	['']	[]
450	wijziging	['']	[]
451	:	['']	[]
452	Het	['']	[]
453	is	['']	[]
454	wenselijk	['']	[]
455	dat	['']	[]
456	het	['']	[]
457	IMG	['']	[]
458	ook	['']	[]
459	maatregelen	['']	[]
460	kan	['']	[]
461	nemen	['']	[]
462	die	['']	[]
463	een	['']	[]
464	meer	['']	[]
465	duurzame	['']	[]
466	herstelmethode	['']	[]
467	mogelijk	['']	[]
468	maken	['']	[]
469	.	['']	[]
470	Gebleken	['']	[]
471	is	['']	[]
472	dat	['']	[]
473	de	['']	[]
474	eisen	['']	[]
475	die	['']	[]
476	artikel	['']	[]
477	6:184	['']	[]
478	BW	['']	[]
479	nu	['']	[]
480	stelt	['']	[]
481	,	['']	[]
482	met	['']	[]
483	een	['']	[]
484	koppeling	['']	[]
485	aan	['']	[]
486	de	['']	[]
487	civielrechtelijke	['']	[]
488	aansprakelijkheid	['']	[]
489	van	['']	[]
490	de	['']	[]
491	exploitant	['']	[]
492	en	['']	[]
493	een	['']	[]
494	garantie	['']	[]
495	dat	['']	[]
496	nieuwe	['']	[]
497	schade	['']	[]
498	wordt	['']	[]
499	beperkt	['']	[]
500	of	['']	[]
501	voorkomen	['']	[]
502	,	['']	[]
503	te	['']	[]
504	vaak	['']	[]
505	onvoldoende	['']	[]
506	grondslag	['']	[]
507	is	['']	[]
508	voor	['']	[]
509	duurzaam	['']	[]
510	herstel	['']	[]
511	.	['']	[]
512	Duurzaam	['']	[]
513	herstellen	['']	[]
514	betekent	['']	[]
515	niet	['']	[]
516	dat	['']	[]
517	de	['']	[]
518	woning	['']	[]
519	na	['']	[]
520	het	['']	[]
521	herstel	['']	[]
522	tegen	['']	[]
523	iedere	['']	[]
524	aardbeving	['']	[]
525	of	['']	[]
526	andere	['']	[]
527	bodembeweging	['']	[]
528	bestand	['']	[]
529	is	['']	[]
530	het	['']	[]
531	gaat	['']	[]
532	erom	['']	[]
533	dat	['']	[]
534	de	['']	[]
535	schade	['']	[]
536	niet	['']	[]
537	terugkeert	['']	[]
538	bij	['']	[]
539	de	['']	[]
540	eerste	['']	[]
541	de	['']	[]
542	beste	['']	[]
543	lichte	['']	[]
544	beving	['']	[]
545	.	['']	[]
546	De	['']	[]
547	bepaling	['']	[]
548	spreekt	['']	[]
549	van	['']	[]
550	“	['']	[]
551	redelijke	['']	[]
552	maatregelen	['']	[]
553	""""	['']	[]
554	.	['']	[]
555	De	['']	[]
556	proportionaliteit	['']	[]
557	van	['']	[]
558	de	['']	[]
559	maatregelen	['']	[]
560	is	['']	[]
561	van	['']	[]
562	belang	['']	[]
563	:	['']	[]
564	wie	['']	[]
565	een	['']	[]
566	schadevergoeding	['']	[]
567	krijgt	['']	[]
568	voor	['']	[]
569	krimpscheuren	['']	[]
570	kan	['']	[]
571	niet	['']	[]
572	verwachten	['']	[]
573	dat	['']	[]
574	hij	['']	[]
575	een	['']	[]
576	tegemoetkoming	['']	[]
577	krijgt	['']	[]
578	voor	['']	[]
579	een	['']	[]
580	kostbaar	['']	[]
581	herstel	['']	[]
582	van	['']	[]
583	de	['']	[]
584	fundering	['']	[]
585	,	['']	[]
586	terwijl	['']	[]
587	het	['']	[]
588	gebrek	['']	[]
589	aan	['']	[]
590	de	['']	[]
591	fundering	['']	[]
592	niet	['']	[]
593	mijnbouw	['']	[]
594	gerelateerd	['']	[]
595	is	['']	[]
596	.	['']	[]
597	In	['']	[]
598	de	['']	[]
599	formulering	['']	[]
600	“in	['']	[]
601	redelijkheid	['']	[]
602	te	['']	[]
603	bepalen	['']	[]
604	tegemoetkoming	['']	[]
605	”	['']	[]
606	komt	['']	[]
607	tot	['']	[]
608	uitdrukking	['']	[]
609	dat	['']	[]
610	niet	['']	[]
611	steeds	['']	[]
612	de	['']	[]
613	volledige	['']	[]
614	kosten	['']	[]
615	van	['']	[]
616	de	['']	[]
617	redelijke	['']	[]
618	maatregelen	['']	[]
619	behoeven	['']	[]
620	te	['']	[]
621	worden	['']	[]
622	vergoed	['']	[]
623	.	['']	[]
624	De	['']	[]
625	hoogte	['']	[]
626	van	['']	[]
627	de	['']	[]
628	tegemoetkoming	['']	[]
629	hangt	['']	[]
630	af	['']	[]
631	van	['']	[]
632	de	['']	[]
633	concrete	['']	[]
634	omstandigheden	['']	[]
635	van	['']	[]
636	het	['']	[]
637	geval	['']	[]
638	,	['']	[]
639	zoals	['']	[]
640	de	['']	[]
641	financiële	['']	[]
642	positie	['']	[]
643	van	['']	[]
644	de	['']	[]
645	aanvrager	['']	[]
646	,	['']	[]
647	de	['']	[]
648	mogelijkheid	['']	[]
649	om	['']	[]
650	een	['']	[]
651	bouwsubsidie	['']	[]
652	te	['']	[]
653	krijgen	['']	[]
654	uit	['']	[]
655	het	['']	[]
656	bestuursakkoord	['']	[]
657	of	['']	[]
658	anderszins	['']	[]
659	en	['']	[]
660	,	['']	[]
661	ten	['']	[]
662	slotte	['']	[]
663	,	['']	[]
664	de	['']	[]
665	proportionaliteit	['']	[]
666	.	['']	[]
667	”	['']	[]
668	Verhouding	['']	[]
669	tot	['']	[]
670	de	['']	[]
671	versterking	['']	[]
672	Het	['']	[]
673	voorgestelde	['']	[]
674	artikel	['']	[]
675	2	['']	[]
676	lid	['']	[]
677	9	['']	[]
678	bepaalt	['']	[]
679	dat	['']	[]
680	IMG	['']	[]
681	niet	['']	[]
682	bevoegd	['']	[]
683	is	['']	[]
684	om	['']	[]
685	maatregelen	['']	[]
686	te	['']	[]
687	treffen	['']	[]
688	of	['']	[]
689	vergoedingen	['']	[]
690	uit	['']	[]
691	te	['']	[]
692	keren	['']	[]
693	,	['']	[]
694	voor	['']	[]
695	zover	['']	[]
696	het	['']	[]
697	de	['']	[]
698	versterking	['']	[]
699	van	['']	[]
700	gebouwen	['']	[]
701	betreft	['']	[]
702	waarop	['']	[]
703	hoofdstuk	['']	[]
704	5	['']	[]
705	van	['']	[]
706	toepassing	['']	[]
707	is	['']	[]
708	.	['']	[]
709	De	['']	[]
710	bepaling	['']	[]
711	is	['']	[]
712	een	['']	[]
713	reactie	['']	[]
714	op	['']	[]
715	een	['']	[]
716	uitspraak	['']	[]
717	van	['']	[]
718	het	['']	[]
719	Hof	['']	[]
720	Arnhem-Leeuwarden	['']	[]
721	.	['']	[]
722	Het	['']	[]
723	Hof	['']	[]
724	oordeelde	['']	[]
725	dat	['']	[]
726	de	['']	[]
727	op	['']	[]
728	grond	['']	[]
729	van	['']	[]
730	de	['']	[]
731	NPR	['']	[]
732	9998	['']	[]
733	te	['']	[]
734	treffen	['']	[]
735	maatregelen	['']	[]
736	in	['']	[]
737	beginsel	['']	[]
738	redelijke	['']	[]
739	maatregelen	['']	[]
740	zijn	['']	[]
741	in	['']	[]
742	de	['']	[]
743	zin	['']	[]
744	van	['']	[]
745	artikel	['']	[]
746	6	['']	[]
747	:	['']	[]
748	184	['']	[]
749	BW	['']	[]
750	.	['']	[]
751	Het	['']	[]
752	voorgestelde	['']	[]
753	artikel	['']	[]
754	9	['']	[]
755	lid	['']	[]
756	2	['']	[]
757	houdt	['']	[]
758	in	['']	[]
759	dat	['']	[]
760	IMG	['']	[]
761	geen	['']	[]
762	vergoeding	['']	[]
763	mag	['']	[]
764	toekennen	['']	[]
765	of	['']	[]
766	maatregelen	['']	[]
767	mag	['']	[]
768	nemen	['']	[]
769	als	['']	[]
770	het	['']	[]
771	gevolg	['']	[]
772	is	['']	[]
773	dat	['']	[]
774	de	['']	[]
775	woning	['']	[]
776	aan	['']	[]
777	de	['']	[]
778	veiligheidsnormen	['']	[]
779	voldoet	['']	[]
780	.	['']	[]
781	Gevolg	['']	[]
782	van	['']	[]
783	deze	['']	[]
784	bepaling	['']	[]
785	zal	['']	[]
786	zijn	['']	[]
787	dat	['']	[]
788	IMG	['']	[]
789	eerst	['']	[]
790	de	['']	[]
791	schade	['']	[]
792	aan	['']	[]
793	de	['']	[]
794	woning	['']	[]
795	herstelt	['']	[]
796	(	['']	[]
797	of	['']	[]
798	daarvoor	['']	[]
799	een	['']	[]
800	vergoeding	['']	[]
801	toekent	['']	[]
802	)	['']	[]
803	en	['']	[]
804	dat	['']	[]
805	vervolgens	['']	[]
806	NCG	['']	[]
807	maatregelen	['']	[]
808	moet	['']	[]
809	nemen	['']	[]
810	om	['']	[]
811	de	['']	[]
812	woning	['']	[]
813	aan	['']	[]
814	de	['']	[]
815	Meijdam-norm	['']	[]
816	te	['']	[]
817	laten	['']	[]
818	voldoen	['']	[]
819	.	['']	[]
820	De	['']	[]
821	bewoner	['']	[]
822	staat	['']	[]
823	dus	['']	[]
824	voor	['']	[]
825	de	['']	[]
826	keuze	['']	[]
827	twee	['']	[]
828	keer	['']	[]
829	een	['']	[]
830	deskundige	['']	[]
831	en	['']	[]
832	een	['']	[]
833	aannemer	['']	[]
834	over	['']	[]
835	de	['']	[]
836	vloer	['']	[]
837	te	['']	[]
838	laten	['']	[]
839	komen	['']	[]
840	of	['']	[]
841	in	['']	[]
842	een	['']	[]
843	onveilig	['']	[]
844	huis	['']	[]
845	te	['']	[]
846	blijven	['']	[]
847	wonen	['']	[]
848	tot	['']	[]
849	hij	['']	[]
850	schadeherstel	['']	[]
851	en	['']	[]
852	versterking	['']	[]
853	in	['']	[]
854	één	['']	[]
855	keer	['']	[]
856	kan	['']	[]
857	laten	['']	[]
858	uitvoeren	['']	[]
859	.	['']	[]
860	Daarbij	['']	[]
861	zij	['']	[]
862	aangetekend	['']	[]
863	dat	['']	[]
864	tot	['']	[]
865	nu	['']	[]
866	niet	['']	[]
867	van	['']	[]
868	een	['']	[]
869	probleem	['']	[]
870	is	['']	[]
871	gebleken	['']	[]
872	omdat	['']	[]
873	IMG	['']	[]
874	maatregelen	['']	[]
875	heeft	['']	[]
876	genomen	['']	[]
877	of	['']	[]
878	vergoed	['']	[]
879	die	['']	[]
880	mede	['']	[]
881	leiden	['']	[]
882	tot	['']	[]
883	een	['']	[]
884	veilige	['']	[]
885	woning	['']	[]
886	.	['']	[]
887	Het	['']	[]
888	voorgestelde	['']	[]
889	artikel	['']	[]
890	creëert	['']	[]
891	bovendien	['']	[]
892	onduidelijkheid	['']	[]
893	.	['']	[]
894	Mag	['']	[]
895	het	['']	[]
896	IMG	['']	[]
897	bijvoorbeeld	['']	[]
898	nog	['']	[]
899	langer	['']	[]
900	de	['']	[]
901	vergoeding	['']	[]
902	van	['']	[]
903	de	['']	[]
904	kosten	['']	[]
905	van	['']	[]
906	sloop	['']	[]
907	en	['']	[]
908	nieuwbouw	['']	[]
909	toekennen	['']	[]
910	als	['']	[]
911	dit	['']	[]
912	in	['']	[]
913	een	['']	[]
914	bepaald	['']	[]
915	geval	['']	[]
916	de	['']	[]
917	meest	['']	[]
918	passende	['']	[]
919	wijze	['']	[]
920	van	['']	[]
921	schadevergoeding	['']	[]
922	is	['']	[]
923	?	['']	[]
924	Nieuwbouw	['']	[]
925	impliceert	['']	[]
926	versterking	['']	[]
927	,	['']	[]
928	maar	['']	[]
929	het	['']	[]
930	kan	['']	[]
931	toch	['']	[]
932	niet	['']	[]
933	de	['']	[]
934	bedoeling	['']	[]
935	zijn	['']	[]
936	dat	['']	[]
937	daarom	['']	[]
938	de	['']	[]
939	juiste	['']	[]
940	wijze	['']	[]
941	van	['']	[]
942	schadevergoeding	['']	[]
943	niet	['']	[]
944	kan	['']	[]
945	plaatsvinden	['']	[]
946	?	['']	[]
947	De	['']	[]
948	bepaling	['']	[]
949	kan	['']	[]
950	beter	['']	[]
951	worden	['']	[]
952	geschrapt	['']	[]
953	aangezien	['']	[]
954	in	['']	[]
955	het	['']	[]
956	geheel	['']	[]
957	niet	['']	[]
958	is	['']	[]
959	gebleken	['']	[]
960	waarom	['']	[]
961	deze	['']	[]
962	nodig	['']	[]
963	zou	['']	[]
964	zijn	['']	[]
965	en	['']	[]
966	zij	['']	[]
967	bovendien	['']	[]
968	tot	['']	[]
969	ongewenste	['']	[]
970	complicaties	['']	[]
971	leidt	['']	[]
972	.	['']	[]
973	Ingrijpen	['']	[]
974	in	['']	[]
975	de	['']	[]
976	taakuitoefening	['']	[]
977	van	['']	[]
978	het	['']	[]
979	IMG	['']	[]
980	Het	['']	[]
981	IMG	['']	[]
982	maakt	['']	[]
983	zich	['']	[]
984	voorts	['']	[]
985	ernstig	['']	[]
986	zorgen	['']	[]
987	over	['']	[]
988	de	['']	[]
989	in	['']	[]
990	artikel	['']	[]
991	9	['']	[]
992	lid	['']	[]
993	3	['']	[]
994	opgenomen	['']	[]
995	grondslag	['']	[]
996	voor	['']	[]
997	een	['']	[]
998	ministeriele	['']	[]
999	regeling	['']	[]
1000	die	['']	[]
1001	regels	['']	[]
1002	kan	['']	[]
1003	geven	['']	[]
1004	over	['']	[]
1005	de	['']	[]
1006	afstemming	['']	[]
1007	van	['']	[]
1008	taken	['']	[]
1009	van	['']	[]
1010	NCG	['']	[]
1011	en	['']	[]
1012	IMG	['']	[]
1013	.	['']	[]
1014	Het	['']	[]
1015	IMG	['']	[]
1016	is	['']	[]
1017	een	['']	[]
1018	semi-rechterlijk	['']	[]
1019	orgaan	['']	[]
1020	dat	['']	[]
1021	onafhankelijk	['']	[]
1022	van	['']	[]
1023	de	['']	[]
1024	ministers	['']	[]
1025	uitvoering	['']	[]
1026	moet	['']	[]
1027	kunnen	['']	[]
1028	geven	['']	[]
1029	aan	['']	[]
1030	zijn	['']	[]
1031	wettelijke	['']	[]
1032	taakopdracht	['']	[]
1033	.	['']	[]
1034	Dat	['']	[]
1035	is	['']	[]
1036	nodig	['']	[]
1037	voor	['']	[]
1038	het	['']	[]
1039	vertrouwen	['']	[]
1040	dat	['']	[]
1041	de	['']	[]
1042	Groningers	['']	[]
1043	in	['']	[]
1044	het	['']	[]
1045	IMG	['']	[]
1046	moeten	['']	[]
1047	kunnen	['']	[]
1048	stellen	['']	[]
1049	.	['']	[]
1050	De	['']	[]
1051	bevoegdheid	['']	[]
1052	van	['']	[]
1053	de	['']	[]
1054	ministers	['']	[]
1055	staat	['']	[]
1056	haaks	['']	[]
1057	op	['']	[]
1058	het	['']	[]
1059	huidige	['']	[]
1060	artikel	['']	[]
1061	9	['']	[]
1062	van	['']	[]
1063	de	['']	[]
1064	Tijdelijke	['']	[]
1065	wet	['']	[]
1066	Groningen	['']	[]
1067	.	['']	[]
1068	Daarin	['']	[]
1069	is	['']	[]
1070	bepaald	['']	[]
1071	dat	['']	[]
1072	de	['']	[]
1073	minister	['']	[]
1074	geen	['']	[]
1075	beleidsregels	['']	[]
1076	over	['']	[]
1077	de	['']	[]
1078	taakuitoefening	['']	[]
1079	van	['']	[]
1080	het	['']	[]
1081	IMG	['']	[]
1082	kan	['']	[]
1083	geven	['']	[]
1084	.	['']	[]
1085	In	['']	[]
1086	de	['']	[]
1087	toelichting	['']	[]
1088	op	['']	[]
1089	artikel	['']	[]
1090	9	['']	[]
1091	heeft	['']	[]
1092	de	['']	[]
1093	minister	['']	[]
1094	gesteld	['']	[]
1095	dat	['']	[]
1096	het	['']	[]
1097	“in	['']	[]
1098	het	['']	[]
1099	belang	['']	[]
1100	van	['']	[]
1101	de	['']	[]
1102	vervulling	['']	[]
1103	van	['']	[]
1104	zijn	['']	[]
1105	semi-rechterlijke	['']	[]
1106	taak	['']	[]
1107	door	['']	[]
1108	het	['']	[]
1109	IMG	['']	[]
1110	niet	['']	[]
1111	wenselijk	['']	[]
1112	is	['']	[]
1113	dat	['']	[]
1114	de	['']	[]
1115	minister	['']	[]
1116	een	['']	[]
1117	bevoegdheid	['']	[]
1118	heeft	['']	[]
1119	om	['']	[]
1120	invloed	['']	[]
1121	uit	['']	[]
1122	te	['']	[]
1123	oefenen	['']	[]
1124	of	['']	[]
1125	in	['']	[]
1126	te	['']	[]
1127	grijpen	['']	[]
1128	op	['']	[]
1129	de	['']	[]
1130	besluitvorming	['']	[]
1131	van	['']	[]
1132	het	['']	[]
1133	IMG	['']	[]
1134	in	['']	[]
1135	individuele	['']	[]
1136	gevallen	['']	[]
1137	of	['']	[]
1138	om	['']	[]
1139	beleidsregels	['']	[]
1140	vast	['']	[]
1141	te	['']	[]
1142	stellen	['']	[]
1143	met	['']	[]
1144	betrekking	['']	[]
1145	tot	['']	[]
1146	de	['']	[]
1147	taakuitoefening	['']	[]
1148	door	['']	[]
1149	het	['']	[]
1150	IMG	['']	[]
1151	”	['']	[]
1152	(	['']	[]
1153	Kamerstukken	['']	[]
1154	II	['']	[]
1155	35	['']	[]
1156	250	['']	[]
1157	,	['']	[]
1158	3	['']	[]
1159	)	['']	[]
1160	.	['']	[]
1161	Het	['']	[]
1162	IMG	['']	[]
1163	acht	['']	[]
1164	het	['']	[]
1165	van	['']	[]
1166	belang	['']	[]
1167	dat	['']	[]
1168	regels	['']	[]
1169	over	['']	[]
1170	de	['']	[]
1171	taakuitoefening	['']	[]
1172	door	['']	[]
